---,分隔線,商店資訊---
申請編號,
公司名稱,統一超商股份有限公司
城市,臺北市
鄉鎮市區,松山區
詳細地址,東興路8號8樓
電話,02-27478711
網址,
聯絡人,
聯絡人電話,
介紹,在城市 探索城事
訂購備註,請電洽訂購事宜
進件管道,
主分類,C
次分類,3
是否顯示,1
強制更新,1
版本,4

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
100,CITY PRIMA
200,CITY CAFE
300,CITY PEARL/CITY TEA

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
100,,中杯$80&大杯$100,精品美式(冰),,
100,,中杯$90&大杯$110,精品拿鐵(冰),,
100,,中杯$100&大杯$120,精品馥芮白(冰),,
100,,110,精品椰厚拿鐵(冰),中杯容量,,
100,,110,精品燕麥拿鐵(冰),中杯容量,,
100,,小杯$60&中杯$80&大杯$100,精品美式(熱),,
100,,小杯$70&中杯$90&大杯$110,精品拿鐵(熱),,
100,,中杯$100&大杯$120,精品馥芮白(熱),,
100,,110,精品燕麥拿鐵(熱),中杯容量,
200,,90,榛果風味燕麥拿鐵(冰),大杯容量,
200,,75,福岡八女濃抹茶拿鐵(冰),大杯容量,
200,,75,鹿兒島濃焙茶拿鐵(冰),大杯容量,
200,,特大$60&大$45&中$35,美式咖啡(冰),,
200,,特大$70&大$55&中$45,拿鐵(冰),,
200,,特大$65&大$50,濃翠美式(冰),,
200,,特大$75&大$60,濃翠拿鐵(冰),,
200,,特大$85&大$65,厚乳拿鐵(冰),,
200,,55,卡布奇諾(冰),大杯容量,
200,,大$75&中$65,燕麥拿鐵(冰),,
200,,65,皇家伯爵紅茶拿鐵(冰),大杯容量,
200,,65,太妃焦糖風味瑪奇朵(冰),大杯容量,
200,,65,焙烤榛果風味拿鐵(冰),大杯容量,
200,,75,HERSHEY'S好時經典可可(冰),大杯容量,
200,,80,西西理風檸檬氣泡咖啡(冰),特大杯容量,
200,,75,西西理風檸檬咖啡(冰),特大杯容量,
200,,90,榛果風味燕麥拿鐵(熱),大杯容量,
200,,65,福岡八女濃抹茶拿鐵(熱),中杯容量,
200,,65,鹿兒島濃焙茶拿鐵(熱),中杯容量,
200,,99,GODIVA純濃熱巧可力(熱),中杯容量,
200,,特大$60&大$45&中$35,美式咖啡(熱),,
200,,特大$70&大$55&中$45,拿鐵(熱),,
200,,特大$65&大$50,濃翠美式(熱),,
200,,特大$75&大$60,濃翠拿鐵(熱),,
200,,特大$85&大$65,厚乳拿鐵(熱),,
200,,大$75&中$65,卡布奇諾(熱),,
200,,大$75&中$65,燕麥拿鐵(熱),,
200,,55,皇家伯爵紅茶拿鐵(熱),大杯容量,
200,,55,太妃焦糖風味瑪奇朵(熱),大杯容量,
200,,55,焙烤榛果風味拿鐵(熱),大杯容量,
200,,65,HERSHEY'S好時經典可可(熱),大杯容量,
300,,85,楊枝甘露,,
300,,85,懷舊鳳梨冰,,
300,,85,CITY水果冰沙-多肉葡萄,,
300,,75,蜜桃果粒冰茶,,
300,,75,團圓紅豆湯,,
300,,65,暖心燒仙草,,
300,,80,蜜香伯爵拿鐵(冰),,
300,,80,蜜香伯爵拿鐵(熱),,
300,,75,珍珠焙火烏龍奶茶(冰),,
300,,75,珍珠焙火烏龍奶茶(熱),,
300,,60,珍珠奶茶(冰),,
300,,60,珍珠奶茶(熱),,
300,,75,咖啡珍珠歐蕾(冰),,
300,,75,咖啡珍珠歐蕾(熱),,
300,,60,黑糖珍珠撞奶(冰),,
300,,60,黑糖珍珠撞奶(熱),,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度

統一超商 CITY CAFE 太武山,08-2336614,金門縣,金湖鎮,太湖路一段29號,24.442899,118.410127
統一超商 CITY CAFE 金門醫院,08-2336385,金門縣,金湖鎮,復興路2-1號1樓,24.4414,118.418954
統一超商 CITY CAFE 金冠,08-2336415,金門縣,金湖鎮,環島南路四段560號562號566號,24.436312,118.40929
統一超商 CITY CAFE 金航,08-2322524,金門縣,金湖鎮,尚義機場2號1樓,24.435797,118.368058
統一超商 CITY CAFE 鈦湖,08-2334638,金門縣,金湖鎮,新市里太湖路二段217號1樓,24.438836,118.41861
統一超商 CITY CAFE 新山外,08-2337068,金門縣,金湖鎮,山外里復興西路2號,24.442457,118.414302
統一超商 CITY CAFE 新再發,08-2334313,金門縣,金湖鎮,復興路8號10號,24.440871,118.416836
統一超商 CITY CAFE 中蘭,08-2354616,金門縣,金沙鎮,環島北路三段482號,24.465499,118.387923
統一超商 CITY CAFE 新沙美,08-2355723,金門縣,金沙鎮,汶沙里國中路2號,24.488541,118.413651
統一超商 CITY CAFE 金民,08-2323404,金門縣,金城鎮,民生路9號1樓,24.433501,118.320004
統一超商 CITY CAFE 金生,08-2322784,金門縣,金城鎮,西門里民生路67.69號,24.436197,118.31868
統一超商 CITY CAFE 金石,08-2323642,金門縣,金城鎮,民權路192號196號1樓,24.438721,118.319692
統一超商 CITY CAFE 金門城,08-2326654,金門縣,金城鎮,金門城128-6號,24.403036,118.307378
統一超商 CITY CAFE 金亮,08-2371831,金門縣,金城鎮,民權路73號1F2F75號1F2F光前路85-2號1F85-3號1F,24.432867,118.314411
統一超商 CITY CAFE 金喬,08-2329497,金門縣,金城鎮,民族路2號1樓2樓民族路2之1號1樓,24.431071,118.321212
統一超商 CITY CAFE 金港,08-2329241,金門縣,金城鎮,西海路一段1號,24.41556,118.286441
統一超商 CITY CAFE 金豪,08-2322471,金門縣,金城鎮,西海路三段1號3號5號1樓,24.417263,118.308651
統一超商 CITY CAFE 金誼,08-2373859,金門縣,金城鎮,南門里浯江北堤路100號,24.429348,118.31567
統一超商 CITY CAFE 下埔下,08-2329374,金門縣,金寧鄉,慈湖路一段69.71號,24.441788,118.312121
統一超商 CITY CAFE 金央,08-2321424,金門縣,金寧鄉,伯玉路一段222之8號1樓,24.436099,118.3276
統一超商 CITY CAFE 樂多,08-2321114,金門縣,金寧鄉,伯玉路二段229號,24.440419,118.338985
統一超商 CITY CAFE 小金,08-2364895,金門縣,烈嶼鄉,林湖村東林街156號,24.428631,118.247362
統一超商 CITY CAFE 烈嶼,08-2362396,金門縣,烈嶼鄉,八青一路1號,24.429251,118.244246
