name,address,lite,c-200,c-300
仰德大樓店,台北市士林區中山北路六段８８號地下室,1,,
忠孝光復店,台北市大安區忠孝東路４段３０２號１樓東側部分,1,1,
敦新店,台北市大安區敦安里仁愛路四段１１２巷５號一樓,1,1,1
東南店,台北市中山區中山北路二段６０號,1,,1
中山民權店,台北市中山區民權西路３８之１號１樓,1,1,
新吉林店,台北市中山區民權東路二段４６號１樓,1,,1
林慶店,台北市中山區林森北路３７６號１樓,1,,1
長賓店,台北市中山區長春路１５號１樓,1,,1
時代廣場店,台北市中山區樂群二路２６５巷２０號,1,1,
龍京店,台北市中山區龍江路１０２號１樓,1,1,
機場捷運店,台北市中正區鄭州路８號Ｂ１樓,1,,
北盛店,台北市中正區青島西路１３號,1,,
內華店,台北市內湖區民權東路六段１６２號,1,1,
新瑞店,台北市內湖區堤頂大道２段４０７巷２６號一樓,1,1,
瑞亞店,台北市內湖區瑞光路３０２號１樓,1,,1
瑞智店,台北市內湖區瑞光路４３３號１樓,1,,
瑞光店,台北市內湖區瑞光路５１０號１樓,1,1,
陽鑫店,台北市內湖區瑞湖街８０號１樓Ｒ３、Ｒ４　,1,,
台發店,台北市松山區八德路三段３０號壹樓,1,1,1
京暉店,台北市松山區南京東路三段２８５號壹樓,1,1,
京鑽店,台北市松山區南京東路四段４７號壹樓,1,,
京盛店,台北市松山區南京東路四段５６－１號１樓,,,1
宏勝店,台北市松山區敦化北路１５３號１樓,1,1,
台北１０１店,台北市信義區市府路４５號Ｂ１（商場編號５３）,1,,1
宏展店,台北市南港區三重路６６號１樓,1,,1
大聯大店,台北市南港區經貿二路１９１號一樓,1,,1
八里中廣店,新北市八里區中山路二段２７６號１樓,1,1,
八里左岸店,新北市八里區觀海大道３７號１樓,1,,
三重仁興店,新北市三重區仁興街３９巷４１號１樓及地下室,1,1,
三重金陽店,新北市三重區重陽路一段７９號１樓,1,,1
三重力陽店,新北市三重區重陽路三段１２６號１樓,1,,
三重天台店,新北市三重區重新路二段７８號,1,,1
三重國泰店,新北市三重區重新路四段８９號重新第二大樓１樓,1,,1
三峽大學店,新北市三峽區學勤路１號１樓,1,,
五股高亞店,新北市五股區興珍里中興路一段１４２號１４２之１號,1,1,
板橋大仁店,新北市板橋區大仁街１０８之１號,1,1,
板橋新光仁店,新北市板橋區中山路二段２５號１－５樓,1,,1
板橋廣榮店,新北市板橋區民生路一段３３號１樓之１,1,1,1
板橋國泰店,新北市板橋區國泰街３７號１樓,1,1,
板橋板崑店,新北市板橋區溪崑二街１６號,1,1,
板橋新月店,新北市板橋區環河西路五段２１７號,1,,
林口洪福店,新北市林口區下福里１１鄰１４７號之１,1,1,
林口正林店,新北市林口區中正路１００號１樓,1,,
林口文化店,新北市林口區文化二路一段６８巷１號１樓,1,,
林口文義店,新北市林口區信義路２８９號,1,1,1
泰山新義學店,新北市泰山區明志路二段５３號１樓,1,,1
東森一號店,新北市中和區景平路２５８號,1,,
新莊中悅店,新北市新莊區中平路４００號１樓,1,,1
新莊龍鳳店,新北市新莊區中正路７２９號,1,,1
新莊首富店,新北市新莊區中華里中華路二段５號,1,1,
新莊華寧店,新北市新莊區中華路１段８號１樓,1,,1
新莊華運店,新北市新莊區中華路一段６７號１樓＋地下室,1,,1
新莊天祥店,新北市新莊區天祥街２９號１樓,1,1,
新莊學輔店,新北市新莊區建國一路２號,1,,1
新莊宏匯店,新北市新莊區思源路５５５號１樓,1,,
新莊新頭前店,新北市新莊區思源路５９７號１樓,1,1,
樹林新三俊店,新北市樹林區三俊街１１２號,1,,1
樹林中新店,新北市樹林區中山路一段１０８巷２２號,1,1,
蘆洲中原店,新北市蘆洲區中原路３號１樓,1,,
蘆洲民仁店,新北市蘆洲區民族路４４８號,1,,1
蘆洲水湳店,新北市蘆洲區民族路５００號１樓,1,1,
蘆洲長發店,新北市蘆洲區長安街１１號１樓＆Ｂ１,1,,1
蘆洲正榮店,新北市蘆洲區長榮路２０９號１樓,1,,
鶯歌站前店,新北市鶯歌區建國路５３之５號、５３之６號１樓,1,,
鶯歌尖山店,新北市鶯歌區國中街１－３號,1,1,
八德金順店,桃園市八德區介壽路二段１０２４號１樓,1,1,
八德青年店,桃園市八德區豐德路３１８號１樓,1,1,
大園都心店,桃園市大園區中山北路３１號１、２樓,1,,
大園帝景店,桃園市大園區中正西路１號,1,1,
大園春德店,桃園市大園區春德路１２８號、１３０號１樓,1,,
中壢國美店,桃園市中壢區中美路二段１１５號１樓,1,1,
中壢延平店,桃園市中壢區延平路５５２號,1,1,
中壢文藝店,桃園市中壢區慈惠三街１３１號１樓,1,,1
中壢新中原店,桃園市中壢區新中北路２４３號１樓,1,1,
中壢青雲店,桃園市中壢區領航南路三段４５２號,1,1,
中壢環廣店,桃園市中壢區環西路１２１號１樓,1,1,
平鎮東順店,桃園市平鎮區平東路５７１號１樓,1,,
平鎮中庸店,桃園市平鎮區金星里中庸路１２６號１２８號一樓,1,,1
平鎮南豐店,桃園市平鎮區南豐路１１２號１樓,1,1,
平鎮壢新店,桃園市平鎮區廣泰路１００號１樓,1,,1
桃園民富店,桃園市桃園區大業路一段１２６號１樓,1,,
桃園國鼎店,桃園市桃園區中山路８４５號１樓Ｂ室,1,1,
桃園新天地店,桃園市桃園區同德五街９８號１樓,1,1,1
桃園建新店,桃園市桃園區建新街８８號,1,,1
桃園興國強店,桃園市桃園區國強一街２０８號,1,1,
桃園莊園店,桃園市桃園區莊敬路二段２４３之１號,1,1,
桃園水岸店,桃園市桃園區經國二路８７號－Ａ１,1,,
桃園金盛店,桃園市桃園區經國路１３０號１樓,1,,1
桃園雙龍店,桃園市桃園區建國路４０號,1,,1
桃園愛國店,桃園市桃園區龍壽里龍壽街１５８號,1,1,1
楊梅縱貫店,桃園市楊梅區中山南路５９０號,1,,1
龍潭龍華店,桃園市龍潭區北龍路１５３號１樓,1,,
龜山中興店,桃園市龜山區中興路一段１０號１樓,1,,
龜山甲子店,桃園市龜山區文化一路３１２號１樓,1,,
龜山長庚店,桃園市龜山區文化二路３２之２２號,1,1,
龜山文湖店,桃園市龜山區文化三路７８巷４３號１樓,1,,
龜山致茂店,桃園市龜山區文茂路８６號１樓,1,,1
龜山文德店,桃園市龜山區文德路７６號１樓,1,,1
龜山美滿店,桃園市龜山區幸福七街２６之１號１樓,1,1,
龜山樂善店,桃園市龜山區復興一路７４號１樓,1,1,
龜山文欣店,桃園市龜山區忠義路二段６２６號,1,1,1
龜山大湖店,桃園市龜山區華亞三路３９巷２號１樓,,,1
蘆竹大竹店,桃園市蘆竹區大竹路４９２號,1,1,
蘆竹洛陽店,桃園市蘆竹區南榮村光明路一段１１９號１２１號一樓,1,,
新竹新金科店,新竹市東區金山街１９７號,1,1,
新竹竹科店,新竹市東區科學工業園區竹村七路７號１樓,1,,1
新竹聯發科店,新竹市東區篤行一路８號,1,,
