name,phone,city,region,detailed_address,latitude,longitude
FamilyMart 全家花蓮富強店,03-8465247,花蓮縣,花蓮市,中山路７０８號１樓,121.6044419,23.98363169
FamilyMart 全家花蓮建中店,03-8315576,花蓮縣,花蓮市,中山路５４７－２號,121.5922526,23.99574716
FamilyMart 全家花蓮慈濟店,03-8571610,花蓮縣,花蓮市,中央路三段７０７號３樓,121.59929648,23.97212918
FamilyMart 全家花蓮正義店,03-8326265,花蓮縣,花蓮市,中正路４１３號１樓,121.61027957,23.97940131
FamilyMart 全家花蓮正國店,03-8358084,花蓮縣,花蓮市,中正路５６９號,121.60115948,23.97302823
FamilyMart 全家花蓮尚美店,03,花蓮縣,花蓮市,中美路２９３之８號,121.62508009,23.9964857
FamilyMart 全家花蓮光復店,03-8316381,花蓮縣,花蓮市,民國路１２１號,121.60033695,23.97825322
FamilyMart 全家花蓮博愛店,03-8352319,花蓮縣,花蓮市,林森路２５０號,121.56538575,23.99614247
FamilyMart 全家花蓮車站店,03-8311943,花蓮縣,花蓮市,國聯一路１００號１樓,121.60247356,23.99086369
FamilyMart 全家花蓮國盛店,03-8328037,花蓮縣,花蓮市,國聯五路１２６、１２８號１樓,121.60534211,23.99068332
FamilyMart 全家新城佳山店,03-8268488,花蓮縣,新城鄉,佳林村佳林１０５號,121.63094815,24.11192703
FamilyMart 全家新城光隆店,03-8264920,花蓮縣,新城鄉,康樂村加灣１之２號,121.63043464,24.02666309
FamilyMart 全家新城北埔店,03-8269462,花蓮縣,新城鄉,北埔路１５９號一樓,121.60281035,24.03782703
FamilyMart 全家新城嘉新店,03-8226046,花蓮縣,新城鄉,嘉新村花師街３７號一樓,121.60493959,24.05170742
FamilyMart 全家新城太魯閣店,03-8610632,花蓮縣,新城鄉,新城村新興路５３號１樓,121.6065198,24.01807548
FamilyMart 全家秀林崇德店,03-8621419,花蓮縣,秀林鄉,崇德村海濱７號１樓,121.50602555,23.95182702
FamilyMart 全家吉安宜安店,03-8540386,花蓮縣,吉安鄉,中山路二段７１之２號,121.56628286,23.98038358
FamilyMart 全家吉安仁里店,03-8546913,花蓮縣,吉安鄉,仁里村中正路１段１５３號，１５５號１樓,121.59094466,23.96911242
FamilyMart 全家吉安昌吉店,03-8460019,花蓮縣,吉安鄉,吉安路一段２０號,121.59370128,23.98923065
FamilyMart 全家吉安和平店,03-8564431,花蓮縣,吉安鄉,自強路３９５號之１,121.58678459,23.97986408
FamilyMart 全家吉安東海店,03-8544347,花蓮縣,吉安鄉,東海十街１４２號１樓,121.5601321,23.96842365
FamilyMart 全家壽豐東華店,03-8630021,花蓮縣,壽豐鄉,大學路二段１號（東華大學六期學生宿舍）,121.54523,23.892293
FamilyMart 全家壽豐東湖店,03-8630177,花蓮縣,壽豐鄉,志學村大學路２段１號（湖畔之心）,121.4954849,23.84903836
FamilyMart 全家壽豐農會店,03-8653896,花蓮縣,壽豐鄉,中山路五段６０號,121.5304003,23.90720134
FamilyMart 全家光復省道店,03-8702528,花蓮縣,光復鄉,大全村中山路一段５２號,121.4235893,23.66592996
FamilyMart 全家瑞穗車站店,03-8875375,花蓮縣,瑞穗鄉,瑞穗村中正北路１號一樓,121.346908,23.495208
FamilyMart 全家玉里中山店,03-8883433,花蓮縣,玉里鎮,中山路二段５４號,121.31523783,23.33798533
