name,phone,city,region,detailed_address,latitude,longitude
FamilyMart 全家新德店,02-2321-4351,台北市,中正區,八德路一段４３巷２號,25.040793,121.518534
FamilyMart 全家新惠安店,02-2303-6887,台北市,中正區,中華路二段３０７巷４６號,25.028401,121.505774
FamilyMart 全家高鐵一店,02-2361-9736,台北市,中正區,北平西路３號Ｂ１東側,25.047203,121.517044
FamilyMart 全家台鐵西店,02-2314-1492,台北市,中正區,臺北市中正區北平西路３號（西南站）,25.047203,121.517044
FamilyMart 全家台鐵二店,02-2314-7112,台北市,中正區,臺北市中正區北平西路３號Ｂ１,25.047203,121.517044
FamilyMart 全家台鐵東店,02-2389-3070,台北市,中正區,臺北市中正區北平西路３號（東北站）,25.047203,121.517044
FamilyMart 全家新龍口店,02-2304-7184,台北市,中正區,汀州路一段２４４號,25.025318,121.517592
FamilyMart 全家金門店,02-2364-2756,台北市,中正區,汀州路二段２１６號１樓,25.013659,121.534399
FamilyMart 全家文盛店,02-2368-1345,台北市,中正區,汀州路三段１７３號,25.012862,121.535183
FamilyMart 全家辛館店,02-2368-8257,台北市,中正區,辛亥路一段１３號,25.026387,121.518738
FamilyMart 全家郡王店,02-2371-9902,台北市,中正區,延平南路６８號,25.041885,121.509561
FamilyMart 全家和醫店,02-2312-2560,台北市,中正區,延平南路１５９號１樓,25.046308,121.515803
FamilyMart 全家凱撒店,02-2389-8803,台北市,中正區,忠孝西路一段３８號１樓（部份）,25.047165,121.512733
FamilyMart 全家崇聖店,02-2381-8610,台北市,中正區,忠孝西路一段４號,25.04691,121.516746
FamilyMart 全家北車捷運店,02-2314-0359,台北市,中正區,臺北市中正區忠孝西路一段４９號Ｂ１,25.04633,121.517916
FamilyMart 全家善導寺店,02-2396-4652,台北市,中正區,忠孝東路一段９號１樓,25.04314,121.530909
FamilyMart 全家忠孝新生店,02-2322-3385,台北市,中正區,忠孝東路二段１３４巷８號１樓及地下室,25.042543,121.526566
FamilyMart 全家文祥店,02-2391-4884,台北市,中正區,杭州南路一段１４７號,25.039944,121.522046
FamilyMart 全家北盛店,02-2361-2673,台北市,中正區,青島西路１３號,25.044774,121.516203
FamilyMart 全家東正店,02-2343-5271,台北市,中正區,信義路一段１號１樓,25.032433,121.517011
FamilyMart 全家正陽店,02-2361-3524,台北市,中正區,南陽街１號,25.043947,121.51306
FamilyMart 全家台六宿舍店,02-3322-6216,台北市,中正區,徐州路２之２號１Ｆ,25.045438,121.516757
FamilyMart 全家博愛店,02-2343-2173,台北市,中正區,博愛路６３號１Ｆ＋Ｂ１Ｆ,25.046144,121.512513
FamilyMart 全家嶺先店,02-2367-2038,台北市,中正區,廈門街１１３巷１７號１樓及地下室部分,25.035578,121.513569
FamilyMart 全家漢盛店,02-2311-7024,台北市,中正區,漢口街一段１８號,25.029407,121.519789
FamilyMart 全家機場捷運店,02-2331-1029,台北市,中正區,鄭州路８號Ｂ１樓,25.042355,121.511054
FamilyMart 全家衡慶店,02-2382-0271,台北市,中正區,衡陽路７號１樓部分（如附圖）,25.044561,121.514898
FamilyMart 全家齊東店,02-2394-2076,台北市,中正區,濟南路二段３－７號１樓,25.043519,121.515838
FamilyMart 全家西站店,02-2312-0577,台北市,中正區,懷寧街７之１號,25.02764,121.521717
FamilyMart 全家羅安店,02-2365-4518,台北市,中正區,羅斯福路二段１４０號１樓,25.023396,121.524883
FamilyMart 全家羅館店,02-2367-5612,台北市,中正區,羅斯福路三段２４４巷７號１樓,25.015748,121.5326
FamilyMart 全家大龍店,02-2598-0054,台北市,大同區,大龍街１３３號１樓,25.070586,121.515924
FamilyMart 全家泰元店,02-2559-2980,台北市,大同區,太原路８１號,25.055294,121.516696
FamilyMart 全家萬全店,02-2557-6965,台北市,大同區,民生西路６３號,25.062778,121.515817
