---,分隔線,商店資訊---
name,OKmart
city,臺北市
region,信義區
detailed_address,松德路97號B1樓
phone,02-6636-3666
introduction,就這一杯很 OK 秘魯莊園級新配方
order_note,
l1_category,C
l2_category,3
version,1

---,分隔線,商品分類代碼,---
category_code,category_name
100,咖啡
200,咖啡(熱)
300,風味咖啡
400,風味咖啡(熱)

---,分隔線,共用選項代碼,---
spid,option_name,single_option
1,冷熱飲,1
2,冷熱飲,1
3,加購,0
4,加購,0


---,分隔線,共用選項價格代碼,---
spid,option_name,extra_price
1,冷飲,0
2,熱飲,0
3,濃縮,15
3,冰塊杯,15
3,蜂蜜風味糖漿,10
3,香草冰淇淋,25
4,濃縮,15
4,蜂蜜風味糖漿,10

---,分隔線,商品資料---
category_code,option,price,name,product_simple,product_describe
100,1&3,M$35&L$45&XL$60,莊園美式 ,Specialty Americano,
100,1&3,M$45&L$55&XL$70,莊園拿鐵 ,Specialty Cafe Latte,
100,1&3,L$55,極淬莊園美式, Maximize Speciality Americano,
100,1&3,L$65,極淬莊園拿鐵, Maximize Speciality Cafe Latte,
100,1&3,L$55,特選招牌, Blended Coffee,
100,1&3,L$65,蜂蜜/焦糖霖拿鐵, Honey/Caramel Cafe Latte,
100,1&3,L$65,摩卡拿鐵, Cafe Mocha,
100,1&3,L$65,阿華田摩卡拿鐵, Ovaltine Cafe Mocha,
100,1&3,L$65,冰淇淋莊園美式, Ice Cream Specialty Americano,

200,2&4,M$35&L$45&XL$60,莊園美式 ,Specialty Americano,
200,2&4,M$45&L$55&XL$70,莊園拿鐵 ,Specialty Cafe Latte,
200,2&4,L$55,極淬莊園美式, Maximize Speciality Americano,
200,2&4,L$65,極淬莊園拿鐵, Maximize Speciality Cafe Latte,
200,2&4,L$55,特選招牌, Blended Coffee,
200,2&4,L$65,蜂蜜/焦糖霖拿鐵, Honey/Caramel Cafe Latte,
200,2&4,L$65,摩卡拿鐵, Cafe Mocha,
200,2&4,L$65,阿華田摩卡拿鐵 ,Ovaltine Cafe Mocha,
200,2&4,L$65,冰淇淋莊園美式 ,Ice Cream Specialty Americano,

300,1&3,L$45,經典紅茶/台灣青茶,Black Tea/Green Tea,
300,1&3,L$55,經典可可,Chocolate Milk,
300,1&3,L$55,焙茶拿鐵,Hojicha Latte,
300,1&3,L$55,錫蘭紅茶拿鐵,Ceylon Black Tea latte,
300,1&3,L$55,静岡抹茶拿鐵,Shizuoka Matcha latte,
300,1&3,L$55,茗京萃 紫蘇飲/百草甘,Mingjing Zisu Yin/Bai Cao Gan,
300,1&3,L$65,蜂蜜/焦糖驟奶茶,Honey / Caramel Milk Tea,
300,1&3,M$50,經典阿華田,Ovaltine Milk,
300,1&3,XL$65,冰淇淋紅茶,Ice Cream Black Tea,

400,2&4,L$45,經典紅茶/台灣青茶,Black Tea/Green Tea,
400,2&4,L$45,XL$55,熱牛奶,Hot Milk,
400,2&4,L$55,經典可可,Chocolate Milk,
400,2&4,L$55,焙茶拿鐵,Hojicha Latte,
400,2&4,L$55,錫蘭紅茶拿鐵,Ceylon Black Tea latte,
400,2&4,L$55,静岡抹茶拿鐵,Shizuoka Matcha latte,
400,2&4,L$55,茗京萃 紫蘇飲/百草甘,Mingjing Zisu Yin/Bai Cao Gan,
400,2&4,L$65,蜂蜜/焦糖驟奶茶,Honey / Caramel Milk Tea,
400,2&4,M$50,經典阿華田,Ovaltine Milk,


---,分隔線,分公司基本資料,---
name,phone,city,region,detailed_address,latitude,longitude
Okmart 北市警局門市,02-6617-9255,台北市,中正區,延平南路96號B2,,
Okmart 大同樹德店,02-6617-2449,台北市,大同區,民族西路120、122號1樓,,
Okmart 大同運動門市,02-6617-7568,台北市,大同區,大龍街51號1樓,,
Okmart 北安店,02-6617-2043,台北市,中山區,北安路476號,,
Okmart 台北撫順店,02-6617-2551,台北市,中山區,撫順街21號,,
Okmart 台北豐達店,02-6617-5459,台北市,松山區,敦化北路155巷87號之1,,
Okmart 台北錦三店,02-6617-2611,台北市,松山區,三民路137號,,
Okmart 北市監理所門市,02-6617-1915,台北市,松山區,八德路４段21號1樓,,
Okmart 金山南路店,02-6617-0562,台北市,大安區,金山南路２段113號,,
Okmart 台北金華店,02-6617-6132,台北市,大安區,金華街241-1號,,
Okmart 中華電信門市,02-6617-8428,台北市,大安區,愛國東路35號B1樓,,
Okmart 萬大店,02-6617-1532,台北市,萬華區,萬大路423巷12號,,
Okmart 台北開封店,02-6617-7247,台北市,萬華區,開封街２段80、80之1號1樓,,
Okmart 北醫店,02-6617-2040,台北市,信義區,吳興街220巷33號,,
Okmart 台北景聯店,02-6617-2415,台北市,信義區,吳興街110號1樓,,
Okmart 信義雙和店,02-6617-5981,台北市,信義區,吳興街284巷21弄2號,,
Okmart 台北富陽店,02-6617-3121,台北市,信義區,富陽街65、67號1樓,,
Okmart 士林芝東店,02-6617-1089,台北市,士林區,士東路200巷21號1樓,,
Okmart 士林和豐店,02-6617-2598,台北市,士林區,和豐街39巷2號,,
Okmart 士林基河店,02-6617-2870,台北市,士林區,基河路250號,,
Okmart 士林芝山店,02-6617-1644,台北市,士林區,福華路155號,,
Okmart 士林監理站門市,02-6617-0363,台北市,士林區,承德路５段80號,,
Okmart 北投吉利店,02-6617-1268,台北市,北投區,吉利街140號,,
Okmart 北投吉運店,02-6617-2248,台北市,北投區,石牌路１段39巷124號1樓,,
Okmart 北投復興店,02-6617-2540,台北市,北投區,復興四路23號1樓+地下室,,
Okmart 關渡水鳥店,02-6617-2642,台北市,北投區,知行路1號1+2樓,,
Okmart 內湖金龍店,02-6613-0929,台北市,內湖區,內湖路三段60巷10弄1號1樓及地下一樓,,
Okmart 內湖德明門市,02-6617-2812,台北市,內湖區,環山路１段56號1樓,,
Okmart 台北萬美店,02-6617-2243,台北市,文山區,辛亥路４段99號,,
Okmart 文山萬安店,02-6617-2315,台北市,文山區,萬美街１段47號1+2樓,,
Okmart 文山忠順店,02-6617-7828,台北市,文山區,興隆路４段72-2號,,
Okmart 基隆南榮店,02-6637-5120,基隆市,仁愛區,南榮路7號,,
Okmart 基隆華三店,02-6637-5127,基隆市,仁愛區,華三街20號,,
Okmart 基隆南新店,02-6637-5129,基隆市,仁愛區,南新街60號,,
Okmart 基隆成功店,02-6637-5136,基隆市,仁愛區,成功一路43.45號,,
Okmart 基隆英仁店,02-6637-5160,基隆市,仁愛區,南榮路387號,,
Okmart 基隆三坑店,02-6637-5179,基隆市,仁愛區,龍安街200、200之1號1樓,,
Okmart 基隆獅球店,02-6637-5182,基隆市,仁愛區,獅球路41號1樓,,
Okmart 基隆愛一店,02-6637-5188,基隆市,仁愛區,愛一路26號1樓,,
Okmart 基隆中興店,02-6637-5110,基隆市,信義區,信二路93號1樓,,
Okmart 基隆仁義店,02-6637-5181,基隆市,信義區,仁一路27號1樓,,
Okmart 基隆東峰店,02-6637-8121,基隆市,信義區,東峰街24號1樓,,
Okmart 基隆海洋店,02-6637-5119,基隆市,中正區,新豐街420.422號1樓,,
Okmart 基隆新富店,02-6637-5130,基隆市,中正區,新豐街251巷7弄35.37號,,
Okmart 基隆和一店,02-6637-5133,基隆市,中正區,和一路86.88號,,
Okmart 基隆新三益店,02-6637-6715,基隆市,中正區,中船路18號1樓,,
Okmart 基隆信五店,02-6637-5183,基隆市,中正區,義二路174號1樓,,
Okmart 基隆東岸店,02-6637-0153,基隆市,中正區,中船路134號1樓,,
Okmart 基隆建心店,02-6637-1425,基隆市,中正區,祥豐街95之6號1樓,,
Okmart 基隆海事門市,02-6637-1827,基隆市,中正區,祥豐街246號,,
Okmart 基隆聖心店,02-6637-5123,基隆市,中山區,西定路254號,,
Okmart 基隆文化店,02-6637-5155,基隆市,中山區,文化路132號,,
Okmart 基隆新民店,02-6637-5166,基隆市,中山區,中山一路25號,,
Okmart 基隆全民店,02-6637-5529,基隆市,中山區,復興路259巷60號,,
Okmart 基隆德和店,02-6637-7329,基隆市,中山區,復興路212巷5弄4號1樓,,
Okmart 基隆慶城店,02-6637-5187,基隆市,中山區,中和路168巷9弄21號1樓,,
Okmart 基隆樂利店,02-6637-5113,基隆市,安樂區,樂利三街68號,,
Okmart 基隆武德店,02-6637-5146,基隆市,安樂區,基金一路208巷108號,,
Okmart 基隆樂一店,02-6637-5167,基隆市,安樂區,樂一路26號,,
Okmart 基隆武聖店,02-6637-5170,基隆市,安樂區,基金三路48號1樓,,
Okmart 基隆崇德店,02-6637-5172,基隆市,安樂區,崇德路8之5號,,
Okmart 基隆興寮店,02-6637-7344,基隆市,安樂區,基金一路112巷110弄15之10號,,
Okmart 基隆安樂店,02-6637-7495,基隆市,安樂區,安樂路２段128號1.2樓,,
Okmart 基隆武隆店,02-6637-6272,基隆市,安樂區,武隆街103巷1號,,
Okmart 基隆華城店,02-6637-8215,基隆市,暖暖區,碇內街210、212號,,
Okmart 基隆源遠店,02-6637-5139,基隆市,暖暖區,源遠路299號,,
Okmart 基隆過港店,02-6637-5143,基隆市,暖暖區,過港路32號,,
