分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
50嵐(大溪慈湖店),03-3874293,桃園市,大溪區,復興路24號,24.8804953,121.2893705
50嵐(中壢福州店),03-4555882,桃園市,中壢區,福州二街527號,24.968679,121.2353274
50嵐( 中壢元智店),03-2855055,桃園市,中壢區,興仁路二段130號1樓,24.9659144,121.2628072
50嵐(中壢新生店）,03-4229393,桃園市,中壢區,新生路162號,24.9610076,121.2231325
50嵐(中壢新明店),03-4939820,桃園市,中壢區,新明路54號,24.9583339,121.2152153
50嵐(中壢延平店),03-2807676,桃園市,中壢區,延平路280號,24.9612568,121.2260272
50嵐(中壢中原店),03-4362888,桃園市,中壢區,日新路8號,24.9538844,121.2385954
50嵐(中壢站前店）,03-4275577,桃園市,中壢區,和平街25號,24.9551097,121.2259655
50嵐(內壢忠孝店),03-4525685,桃園市,中壢區,忠孝路56號,24.9733313,121.2563469
50嵐(中壢龍崗店),03-2830586,桃園市,中壢區,龍東路223號,24.9303775,121.2537425
50嵐(內壢長春店）,03-4630678,桃園市,中壢區,長春路75號,24.9784569,121.248921
50嵐(楊梅大成店),03-2888455,桃園市,楊梅區,大成路204號,24.9126485,121.1459479
50嵐(埔心中興店),03-4818881,桃園市,楊梅區,埔心里中興路103號,24.9173208,121.1850477
50嵐(桃園大興店),03-3572668,桃園市,桃園區,大業路一段405號,25.0158042,121.310315
50嵐(桃園中正店),03-3315282,桃園市,桃園區,中正路542號,25.0033838,121.3059135
50嵐(桃園中山東店),03-3359880,桃園市,桃園區,中山東路40號,24.9964231,121.3164865
50嵐(桃園桃鶯店),03-3632123,桃園市,桃園區,桃鶯路97號,24.9873891,121.317811
50嵐(桃園南崁店),03-2126112,桃園市,蘆竹區,南崁路270號,25.0497264,121.2929799
50嵐(南崁忠孝西店),03-3520882,桃園市,蘆竹區,忠孝西路170號,25.0397171,121.2889545
50嵐(大園中華店),03-3850221,桃園市,大園區,中華路60號,25.0670444,121.1991193
50嵐(龜山中興店),03-3294333,桃園市,龜山區,中興路393號,24.9925455,121.3358429
50嵐(八德介壽店),03-3628855,桃園市,八德區,介壽路一段859號,24.9611626,121.2999918
50嵐(八德興豐店),03-3651650,桃園市,八德區,興豐路700號,24.9310159,121.296635
50嵐(桃園長庚店),03-2115522,桃園市,龜山區,復興一路282號,25.0559729,121.36227
50嵐(長庚Ⅱ店),03-3183010,桃園市,龜山區,復興北路21號,25.0594305,121.3692022
50嵐(龍潭北龍店),03-4700456,桃園市,龍潭區,北龍路61號,24.8658041,121.2126155
50嵐(龍潭中興店),03-4090979,桃園市,龍潭區,中興里006鄰中興路302號,24.8740039,121.23329
50嵐(桃園大竹店),03-3239077,桃園市,蘆竹區,上竹里大竹路522號,25.0238619,121.2597678
