分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
50嵐-林泉店,07-7158576,高雄市,苓雅區,林泉街74號,22.622844,120.317318
50嵐-中華新光店,07-5369989,高雄市,前鎮區,中華五路1457號,22.6104231,120.3031795
50嵐-六合店,07-2266998,高雄市,苓雅區,六合路42-3號,22.63238,120.318318
50嵐-三多店,07-7270422,高雄市,苓雅區,三多一路281號,22.6219875,120.3294961
50嵐-鼎中店,07-3474552,高雄市,三民區,鼎中路261號,22.6646847,120.319178
50嵐-土庫店,07-3552006,高雄市,楠梓區,清豐二路170號,22.7364327,120.3300224
50嵐-光遠大東店,07-7426313,高雄市,鳳山區,光遠路232號,22.6254522,120.3628479
50嵐-河堤裕誠店,07-5592409,高雄市,左營區,裕誠路175號,22.664195,120.3110594
50嵐-瑞隆店,07-7219399,高雄市,前鎮區,瑞隆路542號,22.6053285,120.3274241
50嵐-慶豐店,07-5551060,高雄市,鼓山區,慶豐街22號,22.6658417,120.2928253
50嵐-大昌立志店,07-3954478,高雄市,三民區,大昌一路51號,22.6527685,120.3279322
50嵐-復興一心店,07-5351031,高雄市,前鎮區,復興三路297號,22.611917,120.310889
50嵐-小港店,07-8017988,高雄市,小港區,崇文路85號,22.5688,120.351779
50嵐-青年店,07-5376229,高雄市,苓雅區,青年一路179-2號,22.6215464,120.3071328
50嵐-屏東廣東店,08-7353529,屏東縣,屏東市,廣東路516號,22.6820281,120.500174
50嵐-陽明店,07-3896001,高雄市,三民區,陽明路390號,22.6458999,120.3427665
50嵐-七賢鹽埕店,07-5218988,高雄市,鹽埕區,七賢三路138號,22.6263299,120.2824315
50嵐-後昌店,07-3600835,高雄市,楠梓區,後昌路815號,22.7113736,120.2951683
50嵐-屏東民族店,08-7341888,屏東縣,屏東市,民族路56號,22.670072,120.4889
50嵐-新富店,07-7633466,高雄市,鳳山區,新富路454號,22.6130884,120.3465183
50嵐-大寮店,07-7830668,高雄市,大寮區,鳳林四路120號,22.616035,120.3863389
50嵐-台東中華店,089-333293,台東縣,台東市,中華路一段625號,22.7497488,121.1486325
50嵐-自立六合店,07-2869069,高雄市,新興區,自立二路126號,22.632445,120.298577
50嵐-中山店,07-7190369,高雄市,鳳山區,五甲一路28號,22.621837,120.358028
50嵐-崇德店,07-3452020,高雄市,左營區,崇德路277號,22.6757847,120.3036484
50嵐-林園高中店,07-6426965,高雄市,林園區,林園北路509號,22.5157214,120.3950799
50嵐-台東東商店,089-345875,台東縣,台東市,正氣路467號,22.7572269,121.1449554
50嵐-明誠富民店,07-5508285,高雄市,左營區,明誠二路493號,22.660946,120.305471
50嵐-建興店,07-3871178,高雄市,三民區,建興路86號,22.6427095,120.3290653
50嵐-華夏高鐵店,07-3505398,高雄市,左營區,華夏路1265號,22.6853123,120.3105114
50嵐-鼎山店,07-3908326,高雄市,三民區,鼎山街617號,22.65034,120.317188
50嵐-鳳山文衡店,07-7808811,高雄市,鳳山區,文衡路445號,22.6414823,120.3475095
50嵐-大順店,07-2262699,高雄市,苓雅區,大順三路199號,22.6347265,120.3261876
50嵐-自立七賢店,07-2863211,高雄市,前金區,自立一路43號,22.6350269,120.2973399
50嵐-德昌店,07-8125428,高雄市,前鎮區,德昌路183號,22.5837772,120.3165575
50嵐-富國店,07-5507869,高雄市,左營區,富國路275號,22.6661549,120.3070682
