分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
50嵐南門店,06-213-2255,台南市,中西區,南門路257號,23.0058394,120.1937189
50嵐府前店,06-214-7000,台南市,中西區,府前路1段369號,22.981845,120.203871
50嵐民族店,06-225-0577,台南市,中西區,民族2段139號,22.9982495,120.1755528
50嵐赤崁店,06-223-8688,台南市,中西區,民族路2段260號,22.9974956,120.2010842
50嵐金華店,06-226-3698,台南市,中西區,金華路3段160號,,
50嵐青年店,06-229-2227,台南市,中西區,青年路136號,22.9900293,120.198886
50嵐公園路,06-2526049,台南市,北區,公園路790號,22.9668432,120.1921135
50嵐南園店,06-276-0490,台南市,北區,南園街118號,22.9776715,120.1903393
50嵐文賢店,06-259-5979,台南市,北區,文賢路466號,23.0074797,120.2255643
50嵐長榮店,06-200-8366,台南市,北區,長榮路5段39號,22.9974956,120.2010842
50嵐大同店,06-215-2222,台南市,南區,大同路2段428號,,
50嵐德興店,06-2635445,台南市,南區,德興路14號,22.9982495,120.1755528
50嵐文南店,06-261-1131,台南市,南區,文南路327號,22.9818488,120.1916528
50嵐新孝店,06-263-2007,台南市,南區,新孝路27號,22.9716202,120.230229
50嵐灣裡店,06-262-8291,台南市,南區,灣裡路264號,22.9948002,120.2074768
50嵐金華二店,06-223-0111,台南市,南區,金華路2段262號,22.9668432,120.1921135
50嵐安平店,06-250-5252,台南市,安平區,安平路376-1號,22.9917755,120.2093394
50嵐平通店,06-298-5252,台南市,安平區,平通路426號,,
50嵐中華東店,06-267-8877,台南市,東區,中華東路3段152號,23.0123171,120.2313208
50嵐大林店,06-213-5899,台南市,東區,大同路2段118號,,
50嵐岡山站前店,07-6242333,高雄市,岡山區,民有路71號,22.7920162,120.2971397
50嵐(柳橋店),07-6271103,高雄市,岡山區,柳橋西路一段7號,22.7899539,120.2832938
50嵐維仁店,07-6241533,高雄市,岡山區,維新路138號,22.7931123,120.2913823
50嵐 路竹店,07-6970180,高雄市,路竹區,智仁街291號,22.8583168,120.2658286
