| 茶品             | M   | L   |
|------------------|-----|-----|
| 茉莉綠茶         | 25  | 30  |
| 阿薩姆紅茶       | 25  | 30  |
| 四季春青茶       | 25  | 30  |
| 黃金烏龍         | 25  | 30  |
| 波霸紅           | 35  | 45  |
| 微檸檬青         | 35  | 45  |
| 檸檬綠           | 40  | 55  |
| 梅の綠           | 40  | 55  |
| 8冰綠             | 40  | 55  |
| 多多綠           | 40  | 55  |
| 旺來紅           | 40  | 55  |
| 柚子紅           | 40  | 55  |
| 鮮柚綠           | 50  | 65  |
```

| 奶茶種類       | M   | L   |
|----------------|-----|-----|
| 奶茶           | 40  | 55  |
| 奶綠           | 40  | 55  |
| 烏龍奶         | 40  | 55  |
| 珍珠奶茶       | 40  | 55  |
| 波霸奶茶       | 40  | 55  |
| 燕麥奶茶       | 40  | 55  |
| 阿華田         | 40  | 55  |


| 紅茶拿鐵 | 50| 65 |
| 重焙烏龍拿鐵     | 50| 65|
| 珍珠紅茶拿鐵     | 50| 65|
| 波霸紅茶拿鐵     | 50| 65|
| 燕麥紅茶拿鐵     | 50| 65|
| 阿華田拿鐵       | 50| 65|

| 飲品             | M   | L   |
|------------------|-----|-----|
| 8冰茶            | 40  | 55  |
| 柚子茶           | 40  | 55  |
| 檸檬汁           | 50  | 65  |
| 葡萄柚汁         | 50  | 65  |
| 金桔檸檬         | 50  | 65  |
| 檸檬梅汁         | 50  | 65  |
| 檸檬多多         | 55  | 75  |
| 葡萄柚多多       | 55  | 75  |


| 冰淇淋紅茶 | 40 | 55 |
| 芒果青     | 40 | 55 |
| 荔枝烏龍   | 40 | 55 |
| 冰淇淋奶茶 | 50 | 65 |
| 冰淇淋紅茶拿鐵 | 55 | 75 |
