---,分隔線,商店資訊---
申請編號,
公司名稱,八方雲集餐飲股份有限公司
城市,新北市
鄉鎮市區,淡水區
詳細地址,中正東路2段27之1號18樓
電話,02-26234588
網址,
聯絡人,
聯絡人電話,
介紹,
訂購備註,若需訂購30個餐點以上，請於前一天或當日早上10點30分前訂餐
進件管道,
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,4


---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
100,飯類
200,麵類
300,小菜
400,單點
500,湯品
600,飲品


---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
100,,99,椒鹽雞菲力排飯 ,,
100,,99,祕醬雞菲力排飯,,
100,,125,炸排骨飯,,
100,,128,炸雞腿飯,,
100,,138,椒麻雞飯,,
100,,118,黃金塔塔鱈魚排飯,,
100,,100,經典香腸飯,,
100,,105,炸紅糟肉飯,,
100,,95,椒鹽雞塊飯,,
100,,125,滷排骨飯,,
100,,99,焢肉飯,,

200,,99,椒鹽雞菲力排麵,,
200,,99,祕醬雞菲力排麵,,
200,,128,玫瑰油雞腿飯,,
200,,115,炸排骨麵,,
200,,100,經典香腸麵,,
200,,138,椒麻雞麵,,
200,,118,黃金塔塔鱈魚排麵,,
200,,128,炸雞腿麵,,
200,,108,炸紅糟肉麵,,
100,,95,椒鹽雞塊麵,,
100,,125,滷排骨麵,,
100,,99,焢肉麵,,
100,,128,玫瑰油雞腿麵,,

300,,69,椒鹽雞菲力排(3根),,
300,,108,椒麻雞,,
300,,95,炸排骨,,
300,,95,香酥雞腿,,
300,,75,紅糟肉,,
300,,88,黃金塔塔鱈魚排,,
300,,70,經典香腸,,
300,,95,滷排骨,,
300,,65,椒鹽雞塊,,
300,,69,焢肉,,
300,,98,玫瑰油雞腿,,
300,,15,白飯,,

400,,50,椒麻皮蛋豆腐,,
400,,35,燙青菜,,
400,,45,皮蛋嫩豆腐,,
400,,20,柚香蘿蔔,,
400,,40,椒麻炸豆腐,,
400,,35,黃金炸豆腐,,
400,,35,黃金泡菜,,
400,,30,秋葵,,
400,,19,香滷鴨蛋,,

500,,30,蘿蔔湯 ,,
500,,30,味噌湯,,

600,,35,烏梅汁,,
600,,20,古早味特調紅茶,,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
