---,分隔線,商店資訊---
申請編號,
公司名稱,八方雲集餐飲股份有限公司
城市,新北市
鄉鎮市區,淡水區
詳細地址,中正東路2段27之1號18樓
電話,02-26234588
網址,
聯絡人,
聯絡人電話,
介紹,
訂購備註,若需訂購30個餐點以上，請於前一天或當日早上10點30分前訂餐
進件管道,
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,4


---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
100,飯類
200,麵類
300,小菜
400,單點
500,湯品
600,飲品


---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
100,,99,椒鹽雞菲力排飯 ,,
100,,99,祕醬雞菲力排飯,,
100,,125,炸排骨飯,,
100,,128,炸雞腿飯,,
100,,138,椒麻雞飯,,
100,,118,黃金塔塔鱈魚排飯,,
100,,100,經典香腸飯,,
100,,105,炸紅糟肉飯,,
100,,95,椒鹽雞塊飯,,
100,,125,滷排骨飯,,
100,,99,焢肉飯,,

200,,99,椒鹽雞菲力排麵,,
200,,99,祕醬雞菲力排麵,,
200,,128,玫瑰油雞腿飯,,
200,,115,炸排骨麵,,
200,,100,經典香腸麵,,
200,,138,椒麻雞麵,,
200,,118,黃金塔塔鱈魚排麵,,
200,,128,炸雞腿麵,,
200,,108,炸紅糟肉麵,,
100,,95,椒鹽雞塊麵,,
100,,125,滷排骨麵,,
100,,99,焢肉麵,,
100,,128,玫瑰油雞腿麵,,

300,,69,椒鹽雞菲力排(3根),,
300,,108,椒麻雞,,
300,,95,炸排骨,,
300,,95,香酥雞腿,,
300,,75,紅糟肉,,
300,,88,黃金塔塔鱈魚排,,
300,,70,經典香腸,,
300,,95,滷排骨,,
300,,65,椒鹽雞塊,,
300,,69,焢肉,,
300,,98,玫瑰油雞腿,,
300,,15,白飯,,

400,,50,椒麻皮蛋豆腐,,
400,,35,燙青菜,,
400,,45,皮蛋嫩豆腐,,
400,,20,柚香蘿蔔,,
400,,40,椒麻炸豆腐,,
400,,35,黃金炸豆腐,,
400,,35,黃金泡菜,,
400,,30,秋葵,,
400,,19,香滷鴨蛋,,

500,,30,蘿蔔湯 ,,
500,,30,味噌湯,,

600,,35,烏梅汁,,
600,,20,古早味特調紅茶,,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
梁社漢排骨 南投南陽店 ,04-9220-2727,南投縣,南投市,南陽路476號,,
梁社漢排骨 草屯虎山店 ,04-9230-5222,南投縣,草屯鎮,虎山路696、698號,,
梁社漢排骨 南投埔里店 ,04-9290-3037,南投縣,埔里鎮,南興街262號,,
梁社漢排骨 南投名間店 ,04-9273-5288,南投縣,名間鄉,員集路140號,,
梁社漢排骨 台中十甲店 ,04-2211-0359,台中市,東區,十甲路216號,,
梁社漢排骨 台中漢口店 ,04-2299-2582,台中市,北區,漢口路三段118號,,
梁社漢排骨 台中興安店 ,04-2247-1505,台中市,北屯區,興安路二段60號,,
梁社漢排骨 台中敦化店 ,04-2426-1589,台中市,北屯區,敦化路一段582號,,
梁社漢排骨 台中東山店 ,04-2436-0321,台中市,北屯區,東山路一段330之2號,,
梁社漢排骨 台中天祥店 ,04-2233-5077,台中市,北屯區,天祥街1號,,
梁社漢排骨 台中福康店,04-2463-0005,台中市,西屯區,福康路39號,,
梁社漢排骨 台中逢大店 ,04-2452-8276,台中市,西屯區,黎明路三段341號,,
梁社漢排骨 台中福順店 ,04-2463-0351,台中市,西屯區,福順路252號,,
梁社漢排骨 台中黎明店 ,04-2380-0388,台中市,南屯區,黎明路二段131號,,
梁社漢排骨 台中太平店 ,04-2392-2207,台中市,太平區,樹孝路101號1樓,,
梁社漢排骨 大里大明店 ,04-2482-2168,台中市,大里區,大明路330號,,
梁社漢排骨 大里塗城店,04-2493-0220,台中市,大里區,塗城路685號,,
梁社漢排骨 台中霧峰店 ,04-2339-0029,台中市,霧峰區,樹仁路88號,,
梁社漢排骨 豐原向陽店 ,04-2522-0878,台中市,豐原區,向陽路254號1樓,,
梁社漢排骨 台中后里店 ,04-2558-0110,台中市,后里區,甲后路一段382號,,
梁社漢排骨 潭子興華店 ,04-2534-0905,台中市,潭子區,興華一路288號,,
梁社漢排骨 大雅學府店 ,04-2560-5488,台中市,大雅區,學府路60號,,
梁社漢排骨 神岡社口店 ,04-2563-1319,台中市,神岡區,民生路15號,,
梁社漢排骨 沙鹿光華店 ,04-2662-0992,台中市,沙鹿區,光華路363號,,
梁社漢排骨 沙鹿靜宜店 ,04-2633-0882,台中市,沙鹿區,北勢東路822號,,
梁社漢排骨 台中東海店 ,04-2633-0159,台中市,龍井區,遊園南路254號,,
梁社漢排骨 台中梧棲店 ,04-2658-4666,台中市,梧棲區,中興路215號,,
