name,phone,city,region,detailed_address,latitude,longitude
梁社漢排骨 台中十甲店 ,04-2211-0359,台中市,東區,十甲路216號,,
梁社漢排骨 台中漢口店 ,04-2299-2582,台中市,北區,漢口路三段118號,,
梁社漢排骨 台中興安店 ,04-2247-1505,台中市,北屯區,興安路二段60號,,
梁社漢排骨 台中敦化店 ,04-2426-1589,台中市,北屯區,敦化路一段582號,,
梁社漢排骨 台中東山店 ,04-2436-0321,台中市,北屯區,東山路一段330之2號,,
梁社漢排骨 台中天祥店 ,04-2233-5077,台中市,北屯區,天祥街1號,,
梁社漢排骨 台中福康店,04-2463-0005,台中市,西屯區,福康路39號,,
梁社漢排骨 台中逢大店 ,04-2452-8276,台中市,西屯區,黎明路三段341號,,
梁社漢排骨 台中福順店 ,04-2463-0351,台中市,西屯區,福順路252號,,
梁社漢排骨 台中黎明店 ,04-2380-0388,台中市,南屯區,黎明路二段131號,,
梁社漢排骨 台中太平店 ,04-2392-2207,台中市,太平區,樹孝路101號1樓,,
梁社漢排骨 大里大明店 ,04-2482-2168,台中市,大里區,大明路330號,,
梁社漢排骨 大里塗城店,04-2493-0220,台中市,大里區,塗城路685號,,
梁社漢排骨 台中霧峰店 ,04-2339-0029,台中市,霧峰區,樹仁路88號,,
梁社漢排骨 豐原向陽店 ,04-2522-0878,台中市,豐原區,向陽路254號1樓,,
梁社漢排骨 台中后里店 ,04-2558-0110,台中市,后里區,甲后路一段382號,,
梁社漢排骨 潭子興華店 ,04-2534-0905,台中市,潭子區,興華一路288號,,
梁社漢排骨 大雅學府店 ,04-2560-5488,台中市,大雅區,學府路60號,,
梁社漢排骨 神岡社口店 ,04-2563-1319,台中市,神岡區,民生路15號,,
梁社漢排骨 沙鹿光華店 ,04-2662-0992,台中市,沙鹿區,光華路363號,,
梁社漢排骨 沙鹿靜宜店 ,04-2633-0882,台中市,沙鹿區,北勢東路822號,,
梁社漢排骨 台中東海店 ,04-2633-0159,台中市,龍井區,遊園南路254號,,
梁社漢排骨 台中梧棲店 ,04-2658-4666,台中市,梧棲區,中興路215號,,
梁社漢排骨 台中清水店 ,04-2623-0059,台中市,清水區,光復街94號,,
梁社漢排骨 台中大甲店 ,04-2676-0089,台中市,大甲區,三民路30號,,
梁社漢排骨 台中忠明店 ,04-2265-3228,台中市,南區,忠明南路821-2號,,
梁社漢排骨 台中樂群店 ,04-2376-9859,台中市,西區,南屯路一段23號1樓,,
梁社漢排骨 台中健行店 ,04-2207-0313,台中市,北區,健行路607號,,
梁社漢排骨 台中忠勇店 ,04-2380-0085,台中市,南屯區,忠勇路111-1號,,
