name,phone,city,region,detailed_address,latitude,longitude
梁社漢排骨 中正南昌店 ,02-2343-2361,台北市,中正區,南昌路一段153號,,
梁社漢排骨 中正濟南店 ,02-2394-6074,台北市,中正區,濟南路二段61-1號一樓,,
梁社漢排骨 中正廣州店 ,02-2311-7709,台北市,中正區,廣州街10-7號,,
梁社漢排骨 善導寺店 ,02-2341-4066,台北市,中正區,忠孝東路一段11之2號,,
梁社漢排骨 中山龍江店 ,02-2516-5922,台北市,中山區,龍江路330號一樓,,
梁社漢排骨 中山大直店 ,02-2532-0642,台北市,中山區,大直街3號,,
梁社漢排骨 松山民生店 ,02-2748-0421,台北市,松山區,民生東路五段238號,,
梁社漢排骨 忠孝東店 ,02-8771-8510,台北市,大安區,忠孝東路四段216巷27弄4號,,
梁社漢排骨 台大店 ,02-2369-4938,台北市,大安區,大學里羅斯福路3段333巷11號1樓,,
梁社漢排骨 大安金山南店 ,02-2322-2887,台北市,大安區,金山南路二段109號,,
梁社漢排骨 永吉店 ,02-2766-0657,台北市,信義區,永吉路282號,,
梁社漢排骨 信安店 ,02-8732-0989,台北市,信義區,信安街149號,,
梁社漢排骨 信義光復店 ,02-2758-9470,台北市,信義區,信義路四段375號,,
梁社漢排骨 信義世貿店 ,02-2758-8382,台北市,信義區,莊敬路202號,,
梁社漢排骨 忠誠店 ,02-2834-8596,台北市,士林區,忠誠路二段78號1樓A戶,,
梁社漢排骨 芝山福國店 ,02-2833-0039,台北市,士林區,福國路60號,,
梁社漢排骨 士林前港店 ,02-2881-0037,台北市,士林區,前港街37號,,
梁社漢排骨 北投大業店 ,02-2891-1762,台北市,北投區,中央北路一段206號,,
梁社漢排骨 石牌明德店 ,02-2823-0052,台北市,北投區,明德路107號1樓,,
梁社漢排骨 瑞光店 ,02-2659-7266,台北市,內湖區,瑞光路281號,,
梁社漢排骨 內湖葫洲店 ,02-2631-9983,台北市,內湖區,民權東路六段300號,,
梁社漢排骨 內湖康寧店 ,02-2794-0566,台北市,內湖區,康寧路一段84號,,
梁社漢排骨 內湖民權東店(三民國中對面) ,02-2794-1383,台北市,內湖區,民權東路六段68號一樓,,
梁社漢排骨 南港興華店 ,02-2783-6445,台北市,南港區,興華路90號,,
梁社漢排骨 文山指南店 ,02-8661-6465,台北市,文山區,指南路二段127號,,
梁社漢排骨 文山羅斯福店 ,02-2933-2727,台北市,文山區,羅斯福路六段26號,,
梁社漢排骨 民生承德店 ,02-2557-1223,台北市,大同區,民生西路125號,,
梁社漢排骨 重慶北店 ,02-2555-4198,台北市,大同區,重慶北路二段5號,,
梁社漢排骨 晴光店 ,02-2593-3349,台北市,中山區,農安街13之1號,,
梁社漢排骨 松山八德店 ,02-2750-0085,台北市,松山區,八德路二段435號,,
梁社漢排骨 大安復興南店 ,02-2701-5630,台北市,大安區,復興南路二段277號,,
梁社漢排骨 大安一店 ,02-2704-1023,台北市,大安區,大安路一段225號1樓,,
梁社漢排骨 萬華西園店 ,02-2309-0129,台北市,萬華區,西園路二段216號之1,,
梁社漢排骨 永春店 ,02-2346-3382,台北市,信義區,信義路六段90號1樓,,
梁社漢排骨 士林中正店 ,02-2831-5981,台北市,士林區,中正路338號,,
梁社漢排骨 石牌店 ,02-2823-4918,台北市,北投區,石牌路二段6號,,
梁社漢排骨 東湖店 ,02-2631-5601,台北市,內湖區,東湖路148之1號,,
梁社漢排骨 內湖一店 ,02-2797-2036,台北市,內湖區,內湖路一段591巷12之2號1樓,,
梁社漢排骨 南港店 ,02-2651-9352,台北市,南港區,南港路一段134號,,
梁社漢排骨 萬芳店 ,02-2239-0803,台北市,文山區,興隆路三段100號,,
梁社漢排骨 文山興隆店 ,02-2937-1782,台北市,文山區,興隆路四段98號,,
梁社漢排骨 木柵三店 ,02-2937-5303,台北市,文山區,木柵路三段98號,,
