name,phone,city,region,detailed_address,latitude,longitude
梁社漢排骨 台南育德店 ,06-2512827,台南市,北區,育德路407號1樓,,
梁社漢排骨 台南安中店 ,06-2477255,台南市,安南區,安中路3段76號1樓,,
梁社漢排骨 台南永康店 ,06-3022357,台南市,永康區,中山南路45號1樓,,
梁社漢排骨 台南永大店 ,06-2057089,台南市,永康區,永大路二段181號1樓,,
梁社漢排骨 歸仁中山店 ,06-2300075,台南市,歸仁區,中山路二段148號1樓,,
梁社漢排骨 佳里光復店 ,06-7235798,台南市,佳里區,光復路285號1樓,,
梁社漢排骨 新營新進店 ,06-6370999,台南市,新營區,新進路二段8號1樓,,
梁社漢排骨 台南善化店 ,06-5815889,台南市,善化區,光復路49號1樓,,
梁社漢排骨 台南新市店 ,06-5895655,台南市,新市,區復興路1號1樓,,
梁社漢排骨 台南國賓店 ,06-2006077,台南市,東區,東光路一段146號1樓,,
梁社漢排骨 台南崇善店 ,06-2900135,台南市,東區,崇善路587號1樓,,
梁社漢排骨 台南大同店 ,06-2145818,台南市,東區,大同路2段181號1樓,,
梁社漢排骨 台南新光店 ,06-2217728,台南市,南區,西門路一段607號1樓,,
梁社漢排骨 台南尊南店 ,06-2633579,台南市,南區,健康路二段274號1樓,,
梁社漢排骨 台南安平店 ,06-2950056,台南市,安平區,健康三街227號1樓,,
梁社漢排骨 台南國安店 ,06-3582007,台南市,安南區,海佃路一段215之1號1樓,,
