name,phone,city,region,detailed_address,latitude,longitude
梁社漢排骨 金山中山店 ,02-2498-7785,新北市,金山區,中山路136號,,
梁社漢排骨 板橋漢生東店 ,02-2964-7060,新北市,板橋區,漢生東路354號,,
梁社漢排骨 板橋溪北店 ,02-2687-9433,新北市,板橋區,溪北路35號,,
梁社漢排骨 板橋仁化店 ,02-8252-9948,新北市,板橋區,仁化街125號,,
梁社漢排骨 板橋國光店 ,02-2968-9386,新北市,板橋區,國光路32號,,
梁社漢排骨 板橋貴興店 ,02-2964-8385,新北市,板橋區,貴興路121號,,
梁社漢排骨 板橋莊敬店 ,02-2255-8023,新北市,板橋區,莊敬路167號,,
梁社漢排骨 汐止新台五店 ,02-8691-0115,新北市,汐止區,新台五路一段145號,,
梁社漢排骨 汐止大同店 ,02-26903545、0955150500,新北市,汐止區,大同路二段523號1樓,,
梁社漢排骨 汐止樟樹店 ,02-2641-0040,新北市,汐止區,樟樹一路123之1號,,
梁社漢排骨 深坑北深店,02-2662-8253,新北市,深坑區,北深路三段217號1樓,,
梁社漢排骨 新店中央店 ,02-2219-2355,新北市,新店區,中央路206號,,
梁社漢排骨 新店建國店 ,02-2911-4247,新北市,新店區,建國路114號,,
梁社漢排骨 新店安成店 ,02-2212-0155,新北市,新店區,安成街34號,,
梁社漢排骨 新店安和店 ,02-2947-2769,新北市,新店區,安和路三段109號,,
梁社漢排骨 新店安康店 ,02-2215-7288,新北市,新店區,安康路三段277號一樓,,
梁社漢排骨 永和竹林店 ,02-8921-1510,新北市,永和區,竹林路212號1樓,,
梁社漢排骨 中和自立店 ,02-2926-8587,新北市,中和區,自立路4號,,
梁社漢排骨 中和興南店,02-8943-4990,新北市,中和區,興南路二段101號一樓,,
梁社漢排骨 中和圓通店 ,02-2243-6440,新北市,中和區,圓通路240號,,
梁社漢排骨 中和南華店 ,02-2243-8409,新北市,中和區,南華路68號一樓,,
梁社漢排骨 土城中央店 ,02-8262-0037,新北市,土城區,中央路一段269之6號,,
梁社漢排骨 土城青雲店 ,02-2270-3758,新北市,土城區,青雲路165號,,
梁社漢排骨 土城學府店 ,02-8273-3081,新北市,土城區,學府路一段156號1樓,,
梁社漢排骨 三峽大學店 ,02-3501-2500,新北市,三峽區,大學路148號1樓,,
梁社漢排骨 樹林中華店 ,02-8686-0366,新北市,樹林區,中華路269號,,
梁社漢排骨 樹林大雅店 ,02-2668-5221,新北市,樹林區,大雅路278號1樓,,
梁社漢排骨 鶯歌光明店 ,02-2670-2960,新北市,鶯歌區,光明街136號1樓,,
梁社漢排骨 三重三和店 ,02-2286-0502,新北市,三重區,三和路四段179-1號,,
梁社漢排骨 三重五華店 ,02-2857-2262,新北市,三重區,五華街257號,,
梁社漢排骨 三重重陽店 ,02-2988-0061,新北市,三重區,重陽路一段69號,,
梁社漢排骨 新莊建福店 ,02-2204-1796,新北市,新莊區,建福路71號,,
梁社漢排骨 新莊幸福店 ,02-2990-6692,新北市,新莊區,幸福路809號,,
梁社漢排骨 新莊昌平店 ,02-2990-7230,新北市,新莊區,昌平街39號一樓,,
梁社漢排骨 新莊公園店 ,02-2998-8896,新北市,新莊區,公園路224號,,
梁社漢排骨 新莊龍安店 ,02-2204-6619,新北市,新莊區,龍安路268號,,
梁社漢排骨 泰山仁愛店 ,02-2900-1877,新北市,泰山區,仁愛路72號,,
梁社漢排骨 蘆洲復興店 ,02-8286-8006,新北市,蘆洲區,復興路107-1號,,
梁社漢排骨 五股工商店 ,02-2295-2050,新北市,五股區,工商路56號,,
梁社漢排骨 五股洲子洋店 ,02-2295-3625,新北市,五股區,成泰路三段173號一樓,,
梁社漢排骨 八里中華店 ,02-8630-2202,新北市,八里區,中華路二段466-1號1F,,
梁社漢排骨 竹圍店 ,02-2808-3052,新北市,淡水區,民權路99號之5,,
梁社漢排骨 淡水學府店 ,02-2629-4948,新北市,淡水區,學府路21號,,
梁社漢排骨 淡水新市店,02-2626-1536,新北市,淡水區,中山北路二段10號,,
梁社漢排骨 淡水台北灣店（淡水新市鎮） ,02-2625-7620,新北市,淡水區,新市一路一段99巷12號,,
梁社漢排骨 三芝淡金店 ,02-8635-1658,新北市,三芝區,淡金路一段65號,,
梁社漢排骨 板橋中山店 ,02-2963-2587,新北市,板橋區,中山路二段118、120號,,
梁社漢排骨 板橋實踐店 ,02-2962-8845,新北市,板橋區,實踐路205-1號,,
梁社漢排骨 新店北新店 ,02-8911-3521,新北市,新店區,北新路一段253號一樓,,
梁社漢排骨 中和店 ,02-2246-2876,新北市,中和區,廟美里中和路14號,,
梁社漢排骨 中和民享店 ,02-2226-9676,新北市,中和區,民享街86巷2號,,
梁社漢排骨 林口文化店 ,02-2608-1107,新北市,林口區,文化二路一段269號,,
梁社漢排骨 林口選手村店 ,02-8601-8626,新北市,林口區,文化一路一段205號,,
梁社漢排骨 林口中山店 ,02-2601-4702,新北市,林口區,中山路157號一樓,,
梁社漢排骨 蘆洲長榮店 ,02-8286-9946,新北市,蘆洲區,永樂街2號,,
梁社漢排骨 蘆洲長安店 ,02-8285-7705,新北市,蘆洲區,長安街201號,,
梁社漢排骨 淡水淡海店,02-2805-1525,新北市,淡水區,沙崙路135號,,
