name,phone,city,region,detailed_address,latitude,longitude
梁社漢排骨 中壢復興店 ,03-4255677,桃園市,中壢區,復興路35-1號,,
梁社漢排骨 中壢高榮店 ,03-4901607,桃園市,中壢區,民族路五段485號1樓,,
梁社漢排骨 中壢青埔店 ,03-2873951,桃園市,中壢區,青埔里青埔六街269號,,
梁社漢排骨 平鎮廣德店 ,03-4917589,桃園市,平鎮,區廣德街69號,,
梁社漢排骨 龍潭北龍店 ,03-4792189,桃園市,龍潭區,北龍路65號,,
梁社漢排骨 楊梅永美店 ,03-4812289,桃園市,楊梅區,永美路291號,,
梁社漢排骨 楊梅新農店 ,03-4751815,桃園市,楊梅區,新農街360號,,
梁社漢排骨 桃園新坡店 ,03-4980057,桃園市,觀音區,中山路二段781號,,
梁社漢排骨 桃園大有店,03-3552968,桃園市,桃園區,大有路634號1樓,,
梁社漢排骨 桃園中山東店 ,03-3479808,桃園市,桃園區,中山東路27號,,
梁社漢排骨 桃園莊敬店 ,03-3569938,桃園市,桃園區,莊敬路一段326號,,
梁社漢排骨 桃園縣府店 ,03-3351698,桃園市,桃園區,縣府路188號,,
梁社漢排骨 桃園龍安店 ,03-3441088,桃園市,桃園區,龍安街169-1號,,
梁社漢排骨 桃園藝文店 ,03-3178858,桃園市,桃園區,中埔六街89號,,
梁社漢排骨 桃園中正店 ,03-3333151,桃園市,桃園區,中正路596號1樓,,
梁社漢排骨 林口長庚店 ,03-3271856,桃園市,龜山區,復興一路56號,,
梁社漢排骨 龜山文青店 ,03-3971597,桃園市,龜山區,文青路215號,,
梁社漢排骨 龜山文德店 ,03-3970775,桃園市,龜山區,文德路96號,,
梁社漢排骨 龜山萬壽店 ,03-3500989,桃園市,龜山區,萬壽路二段1027號,,
梁社漢排骨 龜山文興店 ,03-3288526,桃園市,龜山區,文化二路30-4號,,
梁社漢排骨 八德義勇店 ,03-3620389,桃園市,八德區,義勇街130號,,
梁社漢排骨 大溪慈湖店 ,03-3881890,桃園市,大溪區,慈湖路85號,,
梁社漢排骨 蘆竹大竹店 ,03-3237669,桃園市,蘆竹區,大竹路506-15號,,
梁社漢排骨 蘆竹南昌店 ,03-3528859,桃園市,蘆竹區,南昌路258號,,
梁社漢排骨 蘆竹中山店 ,03-3530388,桃園市,蘆竹區,中山路45號,,
梁社漢排骨 環中店 ,03-4630321,桃園市,中壢區,環中東路317號,,
梁社漢排骨 中壢海華店 ,03-4250118,桃園市,中壢區,慈惠三街158巷4號、6號,,
梁社漢排骨 內壢文化店,03-4552289,桃園市,中壢區,文化路338號1樓,,
梁社漢排骨 平鎮中豐店 ,03-4195877,桃園市,平鎮,區中豐路山頂段187號,,
梁社漢排骨 平鎮振興店 ,03-4689088,桃園市,平鎮,區振興路18號,,
梁社漢排骨 桃園桃鶯店 ,03-3779998,桃園市,桃園區,桃鶯路297號,,
