name,phone,city,region,detailed_address,latitude,longitude
梁社漢排骨 新興復興店 ,07-2350023,高雄市,新興區,復興一路78號,,
梁社漢排骨 高雄鹽埕店 ,07-5219181,高雄市,鹽埕區,大仁路140號,,
梁社漢排骨 鼓山青海店 ,07-5226698,高雄市,鼓山區,青海路110號1樓,,
梁社漢排骨 三民義華店 ,07-3830337,高雄市,三民區,義華路493號1樓,,
梁社漢排骨 高雄鼎中店 ,07-3508768,高雄市,三民區,鼎中路389號1樓,,
梁社漢排骨 楠梓德惠店 ,07-3646712,高雄市,楠梓區,德惠路22號1樓,,
梁社漢排骨 小港宏平店 ,07-8060833,高雄市,小港區,宏平路439號,,
梁社漢排骨 左營富國店 ,07-5507075,高雄市,左營區,富國路141號1樓,,
梁社漢排骨 左營博愛店 ,07-3450250,高雄市,左營區,博愛四路286號1樓,,
梁社漢排骨 左營榮總店 ,07-3493228,高雄市,左營區,榮總路263號,,
梁社漢排骨 仁武仁雄店 ,07-7195198,高雄市,仁武區,仁雄路80-2號,,
梁社漢排骨 高雄大社店 ,07-3539611,高雄市,大社區,中山路401號,,
梁社漢排骨 岡山站前店 ,07-6217001,高雄市,岡山區,岡燕路76號,,
梁社漢排骨 鳳山青年店 ,07-7405712,高雄市,鳳山區,青年路一段324號1樓,,
梁社漢排骨 鳳山南華店 ,07-7921676,高雄市,鳳山區,南華一路200之1號1樓,,
梁社漢排骨 高雄林園店 ,07-6416988,高雄市,林園區,林園北路192號,,
梁社漢排骨 苓雅林森店,07-3383002,高雄市,苓雅區,林森二路38號1樓,,
梁社漢排骨 苓雅建國店 ,07-7276268,高雄市,苓雅區,建國一路139號,,
梁社漢排骨 前鎮鄭和店 ,07-3311600,高雄市,前鎮,區鄭和路57號1樓,,
梁社漢排骨 前鎮瑞隆店 ,07-7227078,高雄市,前鎮,區瑞隆路559號,,
