---,分隔線,商店資訊---
name,正忠排骨飯股份有限公司
city,高雄市
region,三民區
detailed_address,正忠路63號1樓
phone,07-381-1111
introduction,在地人的口味，出外人的便當
order_note,
l1_category,A
l2_category,1
version,1

---,分隔線,商品分類代碼,---
category_code,category_name
100,經典飯包

---,分隔線,共用選項代碼,---
spid,option_name,single_option


---,分隔線,共用選項價格代碼,---
spid,option_name,extra_price


---,分隔線,商品資料---
category_code,option,price,name,product_simple,product_describe
100,,75,三杯雞肉飯,,
100,,75,宮保雞丁飯,,
100,,80,糖醋小排飯,,
100,,80,鮮魚飯,,
100,,80,爌肉飯,,
100,,80,黑胡椒豬排飯,,
100,,80,雞排飯,,
100,,80,正忠排骨飯,,
100,,80,炸雞腿飯,,
100,,80,燒雞腿飯,,
100,,80,燒全翅飯,,
100,,80,鱈魚飯,,
100,,80,虱目魚肚飯,,
100,,80,正忠排骨飯,,
100,,90,炸雞腿飯,,
100,,90,燒雞腿飯,,
100,,90,燒全翅飯,,
100,,90,鱈魚飯,,
100,,95,虱目魚肚飯,,
100,,130,虱目魚肚飯,,

---,分隔線,分公司基本資料,---
name,phone,city,region,detailed_address,latitude,longitude
正忠排骨飯 學士店,04-2235-9998,台中市,北區,學士路210號,,
正忠排骨飯 東興店,04-2472-6998,台中市,南屯區,東興路二段356號,,
正忠排骨飯 青海店,04-2315-2668,台中市,西屯區,青海路一段36號,,
正忠排骨飯 福科店,04-2462-8689,台中市,西屯區,福科路427號,,
正忠排骨飯 向上店,04-2381-0028,台中市,南屯區,向上路二段432-7號,,
正忠排骨飯 工學店,04-2263-9618,台中市,南區,工學路56號,,
正忠排骨飯 昌平店,04-2242-7488,台中市,北屯區,昌平路一段97之7號,,
正忠排骨飯 成功店,06-2208788,台南市,中西區,成功路209號,,
正忠排骨飯 金華店,06-2658299,台南市,南區,金華路二段179號,,
正忠排骨飯 東寧店,06-2362888,台南市,東區,東寧路357號,,
正忠排骨飯 中華東店,06-2901888,台南市,東區,中華東路三段143號,,
正忠排骨飯 永華店,06-2952227,台南市,安平區,永華路二段561號,,
正忠排骨飯 永康店,06-3021988,台南市,永康區,中華路600號,,
正忠排骨飯 廣東店,08-7231226,屏東縣,屏東市,廣東路60號,,
正忠排骨飯 曉陽店,04-7225333,彰化市,彰化市,民族路287號,,
正忠排骨飯 中正店,04-8331688,彰化縣,員林鎮,中正路160號,,
正忠排骨飯 保平店,02-8231-3998,新北市,永和區,保平路129.131號,,
正忠排骨飯 中和店,02-2998-8918,新北市,新莊區,中和街153號,,
正忠排骨飯 中華店,02-8992-2222,新北市,新莊區,中華路一段110號1樓,,
正忠排骨飯 中央店,03-4923188,桃園市,中壢區,中央西路二段10號,,
正忠排骨飯 正忠店,07-3853850,高雄市,三民區,正忠路63號,,
正忠排骨飯 六合店,07-2351968,高雄市,新興區,六合一路57號,,
正忠排骨飯 左營店,07-5831895,高雄市,左營區,左營大路58號之3,,
正忠排骨飯 七賢店,07-2872288,高雄市,新興區,七賢二路109號,,
正忠排骨飯 富國店,07-5574188,高雄市,左營區,富國路200號,,
正忠排骨飯 五福店,07-2519998,高雄市,新興區,五福二路59號之10,,
正忠排骨飯 小港店,07-8060011,高雄市,小港區,高雄市沿海一路223號,,
正忠排骨飯 瑞隆店,07-7716969,高雄市,前鎮,區瑞隆路524號,,
正忠排骨飯 十全店,07-3113166,高雄市,三民區,十全一路393號,,
正忠排骨飯 中山店,07-2368199,高雄市,新興區,中山一路300號,,
正忠排骨飯 華榮店,07-5546111,高雄市,鼓山區,華榮路240之7號,,
正忠排骨飯 長庚店,07-7335335,高雄市,鳥松區,大埤路123號,,
正忠排骨飯 仁雄店,07-3722888,高雄市,仁武區,仁雄路37號,,
