---,分隔線,商店資訊---
公司名稱,集山實業股份有限公司
城市,宜蘭縣
鄉鎮市區,五結鄉
詳細地址,五濱路一段18號
電話,03-990-3366
介紹,飯包是給外人吃的，一定要用心做。歡迎機關學校、公司行號訂購，請來電洽詢。
訂購備註,請提前1小時訂購，以免久候。
order_note,請提前1小時訂購，以免久候。
進件管道,
主分類,A
次分類,1
是否顯示,1
強制更新,1
version,4

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
100,經典飯包
200,排骨便當
300,雞腿便當
400,魚便當
500,更多美味選擇


---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
100,,90,經典池上飯包,,
100,,95,燒肉飯包,,
100,,120,鐵道排骨飯包,,

200,,120,鐵道排骨飯包,,
200,,115,悟饕經典排骨飯包,,
200,,115,黃金豬排骨飯包,,
200,,105,直火烤肉飯包,,

300,,125,椒來麻雞腿飯包,,
300,,130,香酥雞腿飯包,,
300,,110,糖燻烤雞腿飯包,,
300,,125,茶香油雞腿飯包,,
300,,130,悟厚大G雞排飯包,,

400,,105,蒲燒鯛魚飯包,,
400,,125,挪威鯖魚飯包,,
400,,115,樹子蒸魚飯包,,

500,,80,菜飯飯包,,
500,,85,香腸飯包,,
500,,115,唐揚炸雞飯包,,
500,,115,海陸雙拼飯包,,

---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
