name,phone,city,region,detailed_address,latitude,longitude
悟饕池上飯包 台南長榮大學店,06-2783679,台南市,歸仁區,長榮路1段349號,,
悟饕池上飯包 台南自由店,06-2898898,台南市,東區,自由路三段118號,,
悟饕池上飯包 台南大灣店,06-2056355,台南市,永康區,大灣路725號,,
悟饕池上飯包 台南善化店,06-5833622,台南市,善化區,中山路53號,,
悟饕池上飯包 台南六甲店,06-6989978,台南市,六甲區,中正路560號,,
悟饕池上飯包 台南關廟店,06-5955601,台南市,關廟區,中山路一段353號,,
悟饕池上飯包 歸仁中正店,06-2392430,台南市,歸仁區,中正六街57號,,
悟饕池上飯包 新營圓環店,06-6329568,台南市,新營區,中山路146號,,
悟饕池上飯包 台南東寧店,06-2097066,台南市,東區,東寧路490號,,
悟饕池上飯包 台南海佃店,06-3585616,台南市,安南區,海佃路一段30號,,
悟饕池上飯包 台南北安店,06-2829989,台南市,北區,北安路一段205號1樓,,
悟饕池上飯包 台南佳里店,06-7230511,台南市,佳里區,光復路299號,,
悟饕池上飯包 台南學甲店,06-7831717,台南市,學甲區,成功路16號,,
悟饕池上飯包 台南新興店,06-2618338,台南市,南區,新興路517號,,
悟饕池上飯包 永康中華店,06-3128686,台南市,永康區,中華一路68號,,
悟饕池上飯包 台南文化店,06-2670030,台南市,東區,崇德路493號,,
悟饕池上飯包 台南安和店,06-3550060,台南市,安南區,安和路五段148號,,
悟饕池上飯包 台南裕信店,06-3314042,台南市,東區,裕信路272號,,
悟饕池上飯包 台南金華店,06-2233589,台南市,中西區,金華路三段7號,,
悟饕池上飯包 台南健康店,06-2952066,台南市,安平區,健康三街232號,,
悟饕池上飯包 台南官田店,06-5794318,台南市,官田區,南廍村145號,,
悟饕池上飯包 台南新化店,06-5988222,台南市,新化區,忠孝路68號,,
悟饕池上飯包 台南仁德店,06-2491080,台南市,仁德區,中清路72號,,
悟饕池上飯包 台南新市店,06-5895353,台南市,新市區,中興街97號,,
悟饕池上飯包 永康復國店,06-2021749,台南市,永康區,復國一路430號,,
悟饕池上飯包 永康鹽行店,06-2437222,台南市,永康區,中正北路7號,,
悟饕池上飯包 永康永明店,06-2022699,台南市,永康區,永明街132號,,
