---,分隔線,商店資訊---,,,,
申請編號,25,,,,,
公司名稱,九記何燒臘,,,,,
城市,臺北市,,,,,
鄉鎮市區,中山區,,,,,
詳細地址,吉林路124號,,,,,
電話,0225637692,,,,,
網址,,,,,,
聯絡人,,,,,,
聯絡人電話,,,,,,
介紹,,,,,,
訂購備註,周邊訂購山上外送或滿500以上以外送 ，營業時間 11:00～14:00. 17:00~20:00,,,,,
進件管道,,,,,,
主分類,A,,,,,
次分類,1,,,,,
是否顯示,1,,,,,
強制更新,0,,,,,
版本,4,,,,,
,,,,,,
---,分隔線,商品分類代碼,---,,,
商品分類編號,商品分類名稱,,,,,
1,燒臘類,,,,,
2,炒焗類,,,,,
3,拼盤類,,,,,
4,湯粥類,,,,,
,,,,,,
,,,,,,
,,,,,,
---,分隔線,共用選項代碼,---,,,
選項編號,選項名稱,必選項目,,,,
1,肉類配料,1,,,,
2,配料,1,,,,
3,加點,0,,,,
---,分隔線,共用選項價格代碼,---,,,
選項編號,名稱,價格,,,,
1,牛肉,0,,,,
1,蝦仁,0,,,,
1,叉燒,0,,,,
2,紅燒,0,,,,
2,蕃茄,0,,,,
2,沙茶,0,,,,
2,滑蛋,0,,,,
3,燒肉一兩,45,,,,
3,叉燒一兩,40,,,,
3,香腸一兩,30,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
---,分隔線,商品資料---,,,,
商品分類編號,選項,價格,名稱,簡單描述,詳細描述,
1,3,150,九記招牌飯,,,
1,3,170,脆皮烤腿飯,,,
1,3,130,蜜汁烤雞腿飯,,,
1,3,120,玫瑰油雞腿飯,,,
1,3,120,馳名三寶飯,,,
1,3,120,廣東臘味飯,,,
1,3,120,自選雙拼飯,,,
1,3,120,明爐燒鴨飯,,,
1,3,120,脆皮燒肉飯,,,
1,3,110,蜜汁叉燒飯,,,
1,3,110,玫瑰油雞飯,,,
1,3,90,燒烤香腸飯,,,
2,1&3,140,干炒河粉,,,
2,2&3,120,牛肉燴飯,,,
2,3,120,滑蛋叉燒燴飯,,,
2,3,180,鹹魚雞粒炒飯,,,
2,3,130,韭菜臘味炒飯,,,
2,3,120,廣州炒飯,,,
2,3,120,叉燒炒飯,,,
2,3,120,牛肉炒飯,,,
2,3,120,蝦仁炒飯,,,
2,3,120,香腸炒飯,,,
3,,150,單拼盤,,,
3,,200,雙拼盤,,,
3,,300,三拼盤,,,
3,,400,四拼盤,,,
3,,140,鴨腿一支,,,
3,,100,烤腿一支,,,
3,,90,雞腿一支,,,
4,,70,番茄蛋花湯,,,
4,,150,鮑魚清雞粥,,,
4,,150,鮑魚蝦仁粥,,,
4,,110,蓮絲鴨肉粥,,,
4,,100,皮蛋瘦肉粥,,,
4,,100,雞蛋牛肉粥,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
---,分隔線,分公司基本資料,---,,,
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
