---,分隔線,商店資訊---
name,雞腿王
city,台北市
region,信義區
detailed_address,和平東路3段391巷7弄9號1樓
phone,27350998
introduction,採用CAS優良肉品證號96018200，投保國泰世紀產品責任險一千萬，可配合預算製作美味便當，專辦大中型活動，可來電洽詢。
order_note,早上10:00前訂購3個以上外送 
l1_category,A
l2_category,1
version,1

---,分隔線,商品分類代碼,---
category_code,category_name
100,特價85元雙拼
200,雞肉類
300,海鮮類
400,豬肉類
500,雙併類
600,素食類 

---,分隔線,共用選項代碼,---
spid,option_name,single_option


---,分隔線,共用選項價格代碼,---
spid,option_name,extra_price


---,分隔線,商品資料---
category_code,option,price,name,product_simple,product_describe
100,,85,雞排+烤肉飯,,
100,,85,雞排+叉燒飯,,
100,,85,雞排+豬柳飯,,
100,,85,雞排+打拋豬肉飯,,
100,,85,花枝排+烤肉飯,,
100,,85,花枝排+豬柳飯,,
100,,85,花枝排+叉燒飯,,
100,,85,花枝排+打拋豬肉飯,,

200,,75,無骨雞排,,
200,,90,三杯雞飯,,
200,,90,照燒雞腿飯,,
200,,95,卡啦雞排飯,,
200,,100,泰式雞排飯,,
200,,110,宮保雞丁飯,,
200,,110,滷雞腿飯,,
200,,110,炸雞腿飯,,
200,,120,蔥香油雞飯,,

300,,70,花枝排飯,,
300,,95,蝦捲飯,,
300,,100,鯛魚飯,,
300,,100,鱈魚飯,,

400,,70,香腸飯,,
400,,80,黑胡椒豬柳飯,,
400,,80,炸排骨飯,,
400,,80,滷排骨飯,,
400,,85,泡菜豬肉飯,,
400,,85,叉燒+香腸飯,,
400,,90,泰式排骨飯,,
400,,90,蒜香白肉飯,,
400,,85,打拋豬肉飯,,
400,,90,烤肉飯,,
400,,95,梅干扣肉飯,,
400,,95,糖醋里肌飯,,

500,,85,棒腿 + 香腸飯,,
500,,100,棒腿 + 叉燒飯,,
500,,100,棒腿 + 烤肉飯,,
500,,100,棒腿 + 豬柳飯,,
500,,110,棒腿 + 打拋飯,,
500,,110,棒腿 + 鯛魚飯,,
500,,100,三拼招牌飯,,
500,,100,鯛魚 + 打拋飯,,
500,,100,蝦捲 + 鯛魚飯,,
500,,100,蝦捲 + 打拋飯,,
500,,100,蝦捲 + 烤肉飯,,
500,,100,蝦捲 + 豬柳飯,,
500,,90,排骨 + 蝦捲飯,,
500,,90,排骨 + 花枝飯,,
500,,90,排骨 + 烤肉飯,,
500,,100,排骨 + 三杯雞飯,,
500,,130,雞腿 + 鯛魚飯,,
500,,150,雞腿 + 鱈魚飯,,
500,,200,高級會議特餐,,

600,,90,方便素食,,
600,,90,全素食,,


---,分隔線,分公司基本資料,---
name,phone,city,region,detailed_address,latitude,longitude

