---,分隔線,商店資訊---
公司名稱,大三元
城市,台北市
鄉鎮市區,北投區
詳細地址,石牌裕民一路19號
電話,02-2822-5496
介紹,
訂購備註,送達地區: 天母、石牌、北投
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,快餐類
2,滷類
3,現炒類
4,湯類

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,,120,咖哩雞飯,,
1,,115,咖哩排骨飯,,
1,,135,咖哩雞排飯,,
1,,135,咖哩雞腿飯,,
2,,115,焢肉飯,,
2,,35,滷肉飯,,
2,,20,白飯,,
3,,115,蝦仁燴飯,,
3,,115,牛肉燴飯,,
3,,115,豬肉燴飯,,
3,,115,鮑魚燴飯,,
3,,115,什錦燴飯,,
3,,120,糖醋排骨飯,,
3,,140,糖醋鱈魚飯,,
3,,130,糖醋雞丁飯,,
3,,120,蔥爆牛肉飯,,
3,,130,蔥爆豬肉飯,,
3,,130,宮保雞丁飯,,
4,,15,紫菜湯,,
4,,15,味噌湯,,
4,,20,玉米湯,,
4,,25,蛋花湯,,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
