---,分隔線,商店資訊---,,,,
申請編號,19,,,,,
公司名稱,大衆小吃店,,,,,
城市,臺北市,,,,,
鄉鎮市區,北投區,,,,,
詳細地址,振華街4號,,,,,
電話,02-2836-1299,,,,,
網址,,,,,,
聯絡人,,,,,,
聯絡人電話,,,,,,
介紹,商務/團體便當請於9:30/17:30前預訂,,,,,
訂購備註,滿500可外送(湯品不外送),,,,,
進件管道,,,,,,
主分類,A,,,,,
次分類,1,,,,,
是否顯示,1,,,,,
強制更新,1,,,,,
版本,4,,,,,
,,,,,,
---,分隔線,商品分類代碼,---,,,
商品分類編號,商品分類名稱,,,,,
1,便當,,,,,
2,飯品,,,,,
3,湯品,,,,,
4,單點,,,,,
---,分隔線,共用選項代碼,---,,,
選項編號,選項名稱,必選項目,,,,
,,,,,,
,,,,,,
---,分隔線,共用選項價格代碼,---,,,
選項編號,名稱,價格,,,,
,,,,,,
,,,,,,
---,分隔線,商品資料---,,,,
商品分類編號,選項,價格,名稱,簡單描述,詳細描述,
1,,110,控肉飯,,,
1,,110,腿庫飯,,,
1,,110,梅干燒肉飯,,,
1,,110,瓜子肉飯(便當),,,
1,,110,大眾炸排骨飯,,,
1,,110,脆皮雞腿飯,,,
1,,110,(炸)雞腿飯,,,
1,,100,(滷)雞腿飯,,,
1,,100,三杯雞飯,,,
1,,100,雞肉飯(便當),,,
,,,,,,
2,,60,滷肉飯,,,
2,,60,雞肉飯,,,
2,,70,瓜子肉飯,,,
,,,,,,
3,,35,蛋花湯,,,
3,,45,貢丸湯,,,
3,,50,草蝦鱈魚丸湯,,,
3,,50,包肉魚丸湯,,,
3,,60,綜合丸湯,,,
,,,,,,
4,,70,梅干燒肉,,,
4,,65,滷雞腿,,,
4,,65,炸排骨,,,
4,,65,控肉,,,
4,,65,腿庫,,,
4,,15,荷包蛋,,,
4,,15,紅藜白飯,,,
,,,,,,
---,分隔線,分公司基本資料,---,,,
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
