---,分隔線,商店資訊---,,,,
申請編號,6,,,,,
公司名稱,肥老弟羊肉羹,,,,,
城市,臺北市,,,,,
鄉鎮市區,北投區,,,,,
詳細地址,裕民二路18號,,,,,
電話,228275866,,,,,
網址,,,,,,
聯絡人,,,,,,
聯絡人電話,,,,,,
介紹,,,,,,
訂購備註,,,,,,
進件管道,,,,,,
主分類,A,,,,,
次分類,3,,,,,
是否顯示,1,,,,,
強制更新,1,,,,,
版本,4,,,,,
,,,,,,
---,分隔線,商品分類代碼,---,,,
商品分類編號,商品分類名稱,,,,,
1,羹類,,,,,
2,麵/飯,,,,,
3,湯,,,,,
4,小菜,,,,,
,,,,,,
---,分隔線,共用選項代碼,---,,,
選項編號,選項名稱,必選項目,,,,
1,分量,0,,,,
2,羹/湯,1,,,,
,,,,,,
---,分隔線,共用選項價格代碼,---,,,
選項編號,名稱,價格,,,,
1,加大,15,,,,
2,羹,0,,,,
2,清湯,0,,,,
,,,,,,
---,分隔線,商品資料---,,,,
商品分類編號,選項,價格,名稱,簡單描述,詳細描述,
1,1&2,湯$75&麵$85&米粉$85&粄條$85&飯$85,羊肉羹,,,
1,1&2,麵$95&米粉$95&粄條$95,羊肉乾,,,
1,1&2,湯$60&麵$75&米粉$75&粄條$75&飯$75,魷魚羹,,,
1,1&2,湯$60&麵$75&米粉$75&粄條$75&飯$75,蝦仁羹,,,
1,1&2,湯$55&麵$70&米粉$70&粄條$70&飯$70,魚酥羹,,,
1,1&2,湯$60&麵$75&米粉$75&粄條$75&飯$75,肉羹,,,
1,1&2,湯$90&麵$100&米粉$100&粄條$100&飯$100,綜合羹,,,
2,,85,羊肉蓋飯,,,
2,,30,乾麵,,,
2,,30,乾米粉,,,
2,,30,乾粄條,,,
2,,30,肉燥飯,,,
3,,35,貢丸湯,,,
3,,35,蘿蔔湯,,,
3,,35,青菜湯,,,
3,,35,蘿蔔貢丸湯,,,
4,,40,燙青菜,,,
4,,15,油豆腐,,,
4,,15,豆皮,,,
4,,15,魯蛋,,,
4,,20,溫泉蛋,,,
4,,70,關東煮,,,
2,,大$60&小$50,涼麵,,,
4,,35,豬頭皮,,,
4,,35,嘴邊肉,,,
4,,100,羊肉盤,,,
4,,100,燙魷魚,,,
,,,,,,
,,,,,,
---,分隔線,分公司基本資料,---,,,
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
