---,分隔線,商店資訊---,,,,
申請編號,12,,,,,
公司名稱,蕭記大餛飩,,,,,
城市,台北市,,,,,
鄉鎮市區,北投區,,,,,
詳細地址,裕民一路40巷21號,,,,,
電話,228224837,,,,,
網址,,,,,,
聯絡人,,,,,,
聯絡人電話,,,,,,
介紹,,,,,,
訂購備註,,,,,,
進件管道,,,,,,
主分類,A,,,,,
次分類,7,,,,,
是否顯示,1,,,,,
強制更新,0,,,,,
版本,4,,,,,
,,,,,,
---,分隔線,商品分類代碼,---,,,
商品分類編號,商品分類名稱,,,,,
1,餛飩類,,,,,
2,冬粉類,,,,,
3,乾類,,,,,
4,生鮮類外帶,,,,,
,,,,,,
---,分隔線,共用選項代碼,---,,,
選項編號,選項名稱,必選項目,,,,
,,,,,,
,,,,,,
---,分隔線,共用選項價格代碼,---,,,
選項編號,名稱,價格,,,,
,,,,,,
,,,,,,
---,分隔線,商品資料---,,,,
商品分類編號,選項,價格,名稱,簡單描述,詳細描述,
1,,小$70&大$100,大餛飩,,,
1,,100,大餛飩加魚丸,,,
2,,小$70&大$100,冬粉加餛飩,,,
2,,小$100&大$125,冬粉加餛飩加魚丸,,,
2,,65,冬粉加魚丸,,,
2,,40,清湯冬粉,,,
2,,35,魚丸湯,,,
3,,50,肉丸,,,
4,,155,大餛飩一盒16粒,,,
4,,150,肉丸10粒,,,
---,分隔線,分公司基本資料,---,,,
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
