---,分隔線,商店資訊---,,,,
申請編號,26,,,,,
公司名稱,金園排骨［萬年店］,,,,,
城市,臺北市,,,,,
鄉鎮市區,萬華區,,,,,
詳細地址,西寧南路70號B1樓,,,,,
電話,0223819797,,,,,
網址,https://www.kingpork.com.tw,,,,,
聯絡人,,,,,,
聯絡人電話,,,,,,
介紹,傳承了西門町一甲子的美好古早味 印證了台灣豐富、深刻、濃厚的在地人情味，陪伴許多人的成長,,,,,
訂購備註,營業時間：11:00～21:00（每日）,,,,,
進件管道,,,,,,
主分類,A,,,,,
次分類,1,,,,,
是否顯示,1,,,,,
強制更新,1,,,,,
版本,4,,,,,
,,,,,,
---,分隔線,商品分類代碼,---,,,
商品分類編號,商品分類名稱,,,,,
1,飯類,,,,,
2,麵類,,,,,
3,炸物,,,,,
4,青菜,,,,,
5,飲料,,,,,
,,,,,,
---,分隔線,共用選項代碼,---,,,
選項編號,選項名稱,必選項目,,,,
,,,,,,
,,,,,,
---,分隔線,共用選項價格代碼,---,,,
選項編號,名稱,價格,,,,
,,,,,,
,,,,,,
---,分隔線,商品資料---,,,,
商品分類編號,選項,價格,名稱,簡單描述,詳細描述,
1,,150,排骨飯,,,
2,,150,排骨麵,,,
1,,170,雞腿飯,,,
2,,170,雞腿麵,,,
1,,160,咖哩排骨飯,,,
1,,180,咖哩雞腿飯,,,
2,,70,蔬菜麵,,,
3,,110,炸排骨,,,
3,,130,炸雞腿,,,
3,,140,炸春捲,,,
3,,80,炸蝦捲,,,
3,,80,炸豆腐,,,
1,,60,滷肉飯,,,
4,,80,滷青菜,,,
4,,40,小菜,,,
5,,30,飲料,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
---,分隔線,分公司基本資料,---,,,
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
