---,分隔線,商店資訊---
公司名稱,勝成餐飲股份有限公司
城市,台北市
鄉鎮市區,大安區
詳細地址,光復南路290巷2號
電話,0800-588-548
介紹,勝博殿是日本勝博殿集團在台灣的直營店，提供多樣化的日式料理，包括定食、丼飯、拉麵等。
訂購備註,便當違憲點現做，歡迎提前來電訂購以免久候。若需大量訂購，敬請前三日來電預訂。便當現外帶使用。
主分類,A
次分類,4
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,特製咖哩
2,經典丼飯
3,特選組合
4,和風便當

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,,230,咖哩里脊便當,,
1,,180,咖哩雞排便當,,

2,,160,里脊豬排丼飯,,
2,,160,脆嫩雞排丼飯,,

3,,340,豪華海鮮便當,,
3,,240,里脊便當,,
3,,250,勝博殿便當,,
3,,190,雞排便當,,
3,,240,腰內便當,,

4,,250,鮭魚野菜燴醋醬便當,,
4,,200,薑汁燒肉便當,,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
勝博殿 新光三越站前店,02-2371-0828,台北市,中正區,忠孝西路一段66號12樓,,
勝博殿 光復店,02-2771-7668,台北市,大安區,光復南路290巷2號,,
勝博殿 新光三越天母店,02-2874-3971,台北市,士林區,天母東路68號7樓(A棟),,
勝博殿 劍南店,02-8502-7078,台北市,中山區,敬業三路11號1樓 (Wego),,
勝博殿 新光三越南西店,02-2521-1828,台北市,中山區,南京西路15號7樓,,
勝博殿 高島屋店,02-6617-1874,台北市,士林區,忠誠路二段55號5樓,,
勝博殿 南港中信店,02-6617-2977,台北市,南港區,經貿二路166號2樓,,
勝博殿 信義A8店,02-6617-8701,台北市,信義區,松高路12號3樓,,
勝博殿 南京建國店,02-6617-0081,台北市,中山區,南京東路二段210號,,
勝博殿 永和比漾店,02-6637-8239,新北市,永和區,中山路一段238號5樓,,
勝博殿 淡水店,02-6637-2988,新北市,淡水區,中山路8號8樓(大都會廣場),,
勝博殿 板橋遠百中山店,02-2956-7473,新北市,板橋區,中山路一段152號13樓,,
勝博殿 林口A9店,02-6637-8007,新北市,林口區,文化三路一段2號4樓,,
勝博殿 新店裕隆城店,02-8914-7462,新北市,新店區,中興路三段70號6樓,,
勝博殿 三峽北大店,02- 6637-6026,新北市,三峽區,學成路227號2樓,,
勝博殿 基隆好食城店,02-24277601,基隆市,中正區,中正路3號2F,,
勝博殿 宜蘭店,03-936-7398,宜蘭縣,宜蘭市,民權路二段38巷6號4樓,,
勝博殿 新光三越桃園站前店,03-332-1088,桃園市,桃園區,中正路19號10樓,,
勝博殿 南崁店,03-263-0838,桃園市,蘆竹區,中正路1號 1樓,,
勝博殿 桃園春日路店,03-263-1363,桃園市,桃園區,春日路618之1號2樓,,
勝博殿 華泰名品城店,03-287-6322,桃園市,中壢區,春德路189號一期3F,,
勝博殿 林口環球店,03-263-0613,桃園市,龜山區,復興一路8號 2樓,,
勝博殿 竹北遠百店,03-610-5313,新竹縣,竹北市,莊敬北路18號7樓,,
勝博殿 中和環球Express店,02-6637-7718,新北市,中和區,中山路三段122號3F,,
勝博殿 三創Express店,02-6613-1130,台北市,中正區,市民大道三段2號B2,,
勝博殿 崇德店,04-2231-2538,台中市,北區,崇德路二段101號,,
勝博殿 新光三越台中店,04-3609-0503,台中市,西屯區,台灣大道三段301號10F,,
勝博殿 台中新時代店,04-3609-5788,台中市,東區,復興路四段186號3樓,,
勝博殿 LaLaport台中店,04-3609-3833,台中市,東區,進德路600號5樓,,
勝博殿 大立店,07-215-2968,高雄市,前金區,五福三路57號B2,,
勝博殿 夢時代店,07-963-1238,高雄市,前鎮區,中華五路789號7樓,,
勝博殿 新光三越台南西門店,06-602-7638,台南市,中西區,西門路一段658號6樓,,
勝博殿 南紡店,06-602-7151,台南市,東區,中華東路一段366號3樓,,
勝博殿 嘉義秀泰店,05-310-3687,嘉義市,西區,文化路299號3樓,,
勝博殿 高雄義大店,07-963-0050,高雄市,大樹區,學城路一段12號C區3樓,,
勝博殿 新光三越台南中山店,06-602-7738,台南市,中西區,中山路162號12樓,,
勝博殿 高雄左營店,07-963-3336,高雄市,左營區,高鐵路115號3樓,,
勝博殿 新光三越嘉義店,05-310-3993,嘉義市,西區,垂楊路726號11樓,,
勝博殿 岡山秀泰店,07-963-1508,高雄市,岡山區,捷安路1巷2號3樓,,
勝博殿 屏東環球店,08-810-3577,屏東縣,屏東市,仁愛路90號5樓,,
