---,分隔線,商店資訊---
公司名稱,大南雞腿王 
城市,台北市
鄉鎮市區,士林區
詳細地址,士林區大南路242號
電話,0228823585
介紹,本店已投保1000萬產品責任險，請安心食用
訂購備註,便當四個可外送，午餐請於11點前訂購，晚餐請於五點前訂購。
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
100,雙主菜
200,一律65元
300,一律70元
400,一律85元
500,一律90元

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
100,,85,A餐 沙茶肉片+炸雞腿,,
100,,85,B餐 酥炸魚排+炸雞腿排,,
100,,85,C餐 醬爆肉片+糖醋雞丁,,
100,,85,D餐 炸鯖魚排+宮保雞丁,,
100,,85,E餐 糖醋雞丁+洋蔥豬柳,,
100,,85,F餐 沙茶肉片+三杯雞塊,,

200,,65,起司豬排飯,,
200,,65,卡拉雞腿排飯,,

300,,70,宮保雞丁飯,,
300,,70,糖醋雞丁飯,,
300,,70,洋蔥豬柳飯,,
300,,70,沙茶肉片飯,,
300,,70,醬爆肉片飯,,
300,,70,炸魚排飯,,

400,,80,吳郭魚飯,,
400,,80,香滷大排骨飯,,
400,,80,酥炸大排骨飯,,
400,,80,古早味大排骨飯,,

500,,90,香滷大雞腿飯,,
500,,90,酥炸大雞腿飯,,
500,,90,蜜汁大雞腿飯,,
500,,90,三杯大雞腿飯,,


---,分隔線,分公司基本資料,---
公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度

