---,分隔線,商店資訊---
公司名稱,大口吃涼麵4
城市,台北市
鄉鎮市區,士林區
詳細地址,天母東路50巷22-7號
電話,02-287513914
介紹,職人匠心 傳承五十年老店的美好味道
訂購備註,10:30~23:00(售完為止)
主分類,A
次分類,3
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,涼麵
2,湯品
3,湯麵/粥
4,小菜
5,飲料


---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,[加料區],0
2,[加料區],0
3,[加料區],0


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格
1,加麵,20
1,加黃瓜,20
1,加雞絲,20
1,加炸醬,20
1,加榨菜,20
1,加泡菜,2
2,蛋,20
2,紫菜包,20
2,貢丸一顆,15
3,加麵,20
3,換烏龍,20
3,加肉片,20
3,海鮮包,50


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,1,特大$65&大$55&小$45,傳統涼麵(可素),,
1,1,特大$75&大$65&小$55,雞絲涼麵,,
1,1,特大$75&大$65&小$55,泡菜涼麵,,
1,1,特大$75&大$65&小$55,炸醬涼麵,,
1,1,特大$75&大$65&小$55,榨菜涼麵,,
1,1,特大$140&大$130&小$120,五小福涼麵,,

2,2,30,味噌湯,,
2,2,35,味噌蛋花,,
2,2,40,味噌貢丸湯,,
2,2,40,味噌綜合湯,(蛋花+貢丸一顆),,
2,2,50,味噌綜合湯,(蛋花+貢丸兩顆),,
2,2,30,紫菜湯,,
2,2,35,紫菜蛋花湯,,
2,2,40,紫菜貢丸湯,,
2,2,40,紫菜綜合湯,(蛋花+貢丸一顆),,
2,2,50,紫菜綜合湯,(蛋花+貢丸兩顆),,

3,3,120,海鮮烏龍麵,,
3,3,130,泡菜海鮮烏龍麵,,
3,3,135,味噌海鮮烏龍麵,,
3,3,145,紫菜味噌海鮮烏龍麵,,
3,3,85,味噌湯麵,,
3,3,95,紫菜味噌湯麵,,
3,3,120,海鮮粥,,
3,3,130,泡菜海鮮粥,,
3,3,75,味噌粥,,
3,3,90,炸醬味噌粥,,

4,,30,涼拌黃瓜,,
4,,30,韓式泡菜,,
4,,30,榨菜肉絲,,
4,,30,炸醬豆乾,,
4,,25,溏心蛋,,


5,,25,紅茶,,
5,,25,冬瓜茶,,
5,,30,奶茶,,
5,,35,豆漿,,
5,,35,豆漿紅茶,,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
