---,分隔線,商店資訊---,,,,
申請編號,,,,,,
公司名稱,易易海南雞飯,,,,,
城市,臺北市,,,,,
鄉鎮市區,士林區,,,,,
詳細地址,大南路89-9號,,,,,
電話,0958348298,,,,,
網址,,,,,,
聯絡人,,,,,,
聯絡人電話,,,,,,
介紹,午餐滿五個可外送,,,,,
訂購備註,營業時間 17：00～23：00,,,,,
進件管道,,,,,,
主分類,A,,,,,
次分類,1,,,,,
是否顯示,1,,,,,
強制更新,0,,,,,
版本,4,,,,,
,,,,,,
---,分隔線,商品分類代碼,---,,,
商品分類編號,商品分類名稱,,,,,
1,飯類,,,,,
2,青菜/湯,,,,,
,,,,,,
---,分隔線,共用選項代碼,---,,,
選項編號,選項名稱,必選項目,,,,
,,,,,,
,,,,,,
---,分隔線,共用選項價格代碼,---,,,
選項編號,名稱,價格,,,,
,,,,,,
,,,,,,
---,分隔線,商品資料---,,,,
商品分類編號,選項,價格,名稱,簡單描述,詳細描述,
1,,120,腿胸雙拼,,,
1,,110,嫩雞腿飯（腿）,,,
1,,110,香滑雞飯（胸）,,,
1,,80,嫩雞腿（單）,,,
1,,80,滑雞胸（單）,,,
2,,40,香菇雞湯,,,
2,,40,燙青菜,,,
1,,25,雞油飯,,,
,,,,,,
,,,,,,
---,分隔線,分公司基本資料,---,,,
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
