---,分隔線,商店資訊---
公司名稱,滷味香
城市,台北市
鄉鎮市區,士林區
詳細地址,士東路200巷79號
電話,02-2832-6522
介紹,滷味香是天母地區的知名滷味店，以新鮮的食材和獨特的滷汁聞名。
訂購備註,
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,飯盒
2,午間限定

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述

1,,120,蔥爆牛肉飯,,
1,,120,香雞排飯,,
1,,120,滷香雞腿飯,,
1,,120,脆皮雞腿飯,,
1,,100,肉捲飯,,
1,,100,黑椒豬柳飯,,
1,,105,宮保雞丁飯,,
1,,100,紅燒肉飯,,
1,,100,士林香腸飯,,
1,,100,新式三寶飯,,
1,,100,腿庫飯,,
1,,100,招牌豬排飯,,
1,,100,紅燒豬排飯,,
1,,100,黑椒豬排飯,,
1,,100,蒜味豬排飯,,
1,,100,炸旗魚飯,,
1,,100,炸鯰魚飯,,
1,,110,鯖魚飯,,
2,,105,香酥豬排飯(午間限定),,
2,,110,清蒸鯰魚飯(限量),,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
