---,分隔線,商店資訊---
公司名稱,竹林上禾便當 天母店
城市,台北市
鄉鎮市區,士林區
詳細地址,德行東路159號
電話,02-8866-1059
介紹,
訂購備註,歡迎來電訂購配送
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,竹林便當
2,竹林單點
3,竹林飲品/湯品

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,,125,竹林特餐,,
1,,135,香酥大雞排飯,,
1,,125,香酥大雞腿飯,,
1,,135,泰式酸辣豬排飯,,
1,,125,雙拼爆爆蝦,,
1,,145,泰式炸雞腿飯,,
1,,125,竹林紅糟肉飯,,
1,,120,薄鹽鮭魚飯,,
1,,120,厚切豬排飯,,
1,,125,蒜泥白肉飯,,
1,,125,泰式酸辣雞腿飯,,
1,,115,竹林滷雞腿飯,,
1,,115,黑毛豬炸豬排飯,,
1,,110,台灣鯖魚飯,,
1,,110,香酥魚排飯,,
1,,110,滷香排骨飯,,
1,,110,勁辣卡啦脆雞飯,,
1,,105,滿滿香腸飯,,
1,,105,黃金柳葉魚飯,,
1,,105,竹林二菇菇飯(素食),,
1,,100,無骨小雞排飯,,

2,,95,香酥大雞排,,
2,,85,竹林紅糟肉,,
2,,85,香酥炸雞腿,,
2,,85,竹林爆爆蝦,,
2,,80,厚切豬排,,
2,,70,台灣鯖魚排,,
2,,70,香酥炸魚排,,
2,,75,黑毛豬炸豬排,,
2,,80,薄鹽鮭魚排,,
2,,70,勁辣卡啦脆雞,,
2,,65,黃金柳葉魚,,
2,,15,泰式酸辣醬,,
2,,45,香腸兩條,,
2,,15,豆乾兩片,,
2,,15,滷蛋,,
2,,15,白飯,,

3,,40,烏龍綠茶,,
3,,50,綜合莓果,,
3,,50,洋柑橘茶,,
3,,50,太妃紅茶,,
3,,25,蘿蔔湯,,
3,,40,貢丸湯,,
3,,60,排骨酥湯,,



---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
