---,分隔線,商店資訊---
公司名稱,鍋燒雞
城市,台北市
鄉鎮市區,士林區
詳細地址,天母東路22巷23-1號
電話,0916558145
介紹,
訂購備註,
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,秘至醬燒
2,麻辣香濃
3,醬香三杯
4,鮮蝦餛飩
5,麵食
6,麻辣豆腐
7,湯
8,將香三杯
9,青菜/飲料


---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,加點項目,0
2,加點項目-麵,0
3,加點項目-蛋花,0

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格
1,白飯,15
1,金針菇,30
1,杏胞菇,50
1,牛肉,100
1,豆皮,30
1,大白菜,50
1,豬肉,90
1,鮮蝦,120
2,加麵,20
3,加蛋花,20

---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,1,160,秘製醬燒雞,附白飯,
1,1,170,秘製醬燒豬,附白飯,
1,1,180,秘製醬燒牛,附白飯,
1,1,200,秘製醬燒鮮蝦,附白飯,
1,1,200,秘製醬燒魷魚,附白飯,
1,1,320,秘製醬燒魷魚加量,附白飯,

2,1,180,麻辣香濃豬,附白飯,
2,1,190,麻辣香濃牛,附白飯,
2,1,200,麻辣香濃鮮蝦,附白飯,
2,1,200,麻辣香濃魷魚,附白飯,
2,1,320,麻辣香濃魷魚加量,附白飯,

3,1,180,醬香三杯雞,附白飯,
3,1,200,醬香三杯鮮蝦,附白飯,
3,1,200,醬香三杯魷魚,附白飯,
3,1,320,醬香三杯魷魚加量,附白飯,

4,,100,乾拌鮮蝦大餛飩,,

5,2,100,鮮蝦大餛飩湯麵,,
5,2,100,鮮蝦大餛飩乾麵,,
5,2,100,肉肉大餛飩湯麵,,
5,2,100,肉肉大餛飩乾麵,,
5,2,45,陽春湯麵,,
5,2,45,陽春乾麵,,

6,,80,麻辣豆腐,,
6,,100,麻辣鮮蔬豆腐,,
6,,120,麻辣豬肉豆腐,,
6,,130,麻辣牛肉豆腐,,
6,,150,麻辣鮮蝦豆腐,,

7,3,100,鮮蝦大餛飩湯,,
7,3,100,肉肉大餛飩湯,,
7,3,40,鮮蔬蛋花湯,,
7,3,35,蘿蔔湯,,

8,,120,醬香三杯米血糕,,
8,,120,醬香三杯杏鲍菇,,
8,,180,醬香三杯豬肉片,,

9,,35,燙青菜,,
9,,50,仙草汁,,

---,分隔線,分公司基本資料,---   
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
