---,分隔線,商店資訊---
公司名稱,香港阿德燒臘
城市,台北市
鄉鎮市區,士林區
詳細地址,士林區德行東路5號
電話,0228385479
介紹,阿德蔥油，新鮮、限量、手工秘方配製，好味道，歡迎選購。
訂購備註,歡迎預定 聚餐餐點、會議便當
主分類,A
次分類,2
是否顯示,1
強制更新,0
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,燒臘類
2,雞/鴨腿類
3,雙拼類
4,臘味類
5,其他

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,,150,明爐燒鴨飯,,
1,,150,蜜汁叉燒飯,,
1,,140,玫瑰油雞飯,,
1,,140,蜜汁烤雞飯,,
1,,130,蜜汁烤腸飯,,
1,,160,化皮燒肉飯,,


2,,160,玫瑰雞腿飯,,
2,,160,蜜汁雞腿飯,,
2,,230,土雞腿飯,,
2,,200,鴨腿飯,,
2,,240,燒鵝飯,,
2,,440,鵝腿飯,,

3,,160,燒味雙拼飯,,
3,,170,燒味三寶飯,,
3,,170,叉燒燒肉飯,,
3,,180,三燒飯,,
3,,190,金牌四寶飯,,
3,,220,金牌五寶飯,,
3,,360,天母隱藏版,,


4,,150,臘肝腸飯,,
4,,160,廣東臘味飯,,
4,,190,臘味四寶飯,,
4,,220,臘味五寶飯,,

5,,90,方便菜便當,,
5,,30,蔥油一小杯,,
5,,15,白飯,,
5,,大$75&小$35,豆枣,,
5,,大$75&小$35,辣蘿蔔,,



---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
