---,分隔線,商店資訊---
公司名稱,黃家牛肉麵
城市,台北市
鄉鎮市區,士林區
詳細地址,德行東路103號
電話,0228346455
營業時間,
介紹,
訂購備註,
主分類,A
次分類,3
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,湯麵類
2,乾麵類
3,抄手類
4,湯類
5,其他


---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,麵體,1


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格

1,陽春麵條(細),0
1,家常拉麵(寬),0


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,1,小$190&大$230,牛筋麵,,
1,1,小$170&大$210,招牌麵(半筋半肉),,
1,1,小$150&大$190,牛肉麵,,
1,1,小$90&大$120,牛肉湯麵,,
1,1,小$130&大$160,牛湯餛飩麵,,
1,1,小$110&大$140,榨菜肉絲麵,,
1,1,小$110&大$140,餛飩麵,,
1,1,小$110&大$140,溫州大餛飩麵,,
1,1,小$110&大$140,酸辣麵,,

2,1,小$140&大$180,牛肉乾拌麵,,
2,1,小$55&大$80,肉燥乾拌麵,,
2,1,小$60&大$85,炸醬麵,,
2,1,小$55&大$80,麻醬麵,,
2,1,小$65&大$90,雙醬麵(炸醬+麻醬),,

3,1,小$120&大$140,紅油抄手麵,,
3,1,90,紅油抄手,,

4,,190,牛筋湯,,
4,,170,半筋半肉湯,,
4,,150,牛肉湯,,
4,,50,牛肉清湯,,
4,,120,牛湯餛飩麵,,
4,,70,餛飩湯,,
4,,75,溫州大餛飩湯,,
4,,70,榨菜肉絲湯,,
4,,60,香菇丸湯,,
4,,55,酸辣湯,,

5,,40,燙青菜,,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度

