---,分隔線,商店資訊---,,,,
申請編號,,,,,,
公司名稱,旗山秀明豬心冬粉,,,,,
城市,高雄市,,,,,
鄉鎮市區,旗山區,,,,,
詳細地址,永平街41號,,,,,
電話,07-662-4625,,,,,
網址,,,,,,
聯絡人,,,,,,
聯絡人電話,,,,,,
介紹,,,,,,
訂購備註,07:30–15:30、週一公休,,,,,
主分類,A,,,,,
次分類,3,,,,,
是否顯示,1,,,,,
強制更新,1,,,,,
版本,4,,,,,
,,,,,,
---,分隔線,商品分類代碼,---,,,
商品分類編號,商品分類名稱,,,,,
1,推薦吃法,,,,,
2,吃新鮮,,,,,
3,吃回味,,,,,
2,古早味,,,,,
5,喝湯湯,,,,,
6,吃來配,,,,,
7,綜合黑白切,,,,,
,,,,,,
,,,,,,
---,分隔線,共用選項代碼,---,,,
選項編號,選項名稱,必選項目,,,,
1,種類,1,,,,
2,香菜,0,,,,
---,分隔線,共用選項價格代碼,---,,,
選項編號,名稱,價格,,,,
1,乾,0,,,,
1,米粉,0,,,,
1,油麵,0,,,,
1,米粉,0,,,,
1,飯湯,0,,,,
2,不要香菜,0,,,,
---,分隔線,商品資料---,,,,
商品分類編號,選項,價格,名稱,簡單描述,詳細描述,
1,,90,豬心冬粉+滷香蛋,,,
1,,100,月見肉燥飯+香菇肉羹(小),,,
2,1,70,豬心,,,
2,1,60,豬舌,,,
2,1,60,嘴邊肉,,,
2,1,60,肝連,,,
2,1,45,湯麵,,,
3,1&2,60,香菇肉羹,,,
3,1&2,50,香菇肉羹,,,
,,,,,,
,,,,,,
4,,35,肉燥飯,,,
4,,50,月見肉燥飯,,,
4,,50,超好吃肉燥飯,,,
4,,45,乾麵,,,
4,,45,乾米粉,,,
,,,,,,
5,,65,豬心湯,,,
5,,60,豬舌湯,,,
5,,60,嘴邊肉湯,,,
5,,60,肝連湯,,,
5,,60,粉腸湯,,,
5,,65,綜合湯,,,
5,,25,貢丸湯,,,
,,,,,,
6,,35,豆芽菜,,,
6,,45,季節蔬菜,,,
6,,55,豬心,,,
6,,55,豬舌,,,
6,,55,嘴邊肉,,,
6,,55,肝連,,,
6,,55,生腸,,,
6,,55,牙齦肉,,,
6,,35,豬皮,,,
6,,25,豬心頭,,,
6,,20,滷香菜,,,
6,,15,滷貢丸,,,
6,,15,白飯,,,
,,,,,,
7,,130,粉腸、豬舌、肝連,,,
7,,130,生腸、豬心、嘴邊肉,,,
---,分隔線,分公司基本資料,---,,,
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
