---,分隔線,商店資訊---,,,,
申請編號,,,,,,
公司名稱,米院子油飯,,,,,
城市,高雄市,,,,,
鄉鎮市區,新興區,,,,,
詳細地址,南海街30號,,,,,
電話,07-222-6699,,,,,
網址,,,,,,
聯絡人,,,,,,
聯絡人電話,,,,,,
介紹,,,,,,
訂購備註,10:45–17:00 (週日、週一公休),,,,,
主分類,A,,,,,
次分類,1,,,,,
是否顯示,1,,,,,
強制更新,1,,,,,
版本,4,,,,,
,,,,,,
---,分隔線,商品分類代碼,---,,,
商品分類編號,商品分類名稱,,,,,
1,鴨肉油飯,,,,,
2,湯品,,,,,
3,小菜,,,,,
4,飲料,,,,,
---,分隔線,共用選項代碼,---,,,
選項編號,選項名稱,必選項目,,,,
---,分隔線,共用選項價格代碼,---,,,
選項編號,名稱,價格,,,,
---,分隔線,商品資料---,,,,
商品分類編號,選項,價格,名稱,簡單描述,詳細描述,
1,,一斤$160&大$110&小$80,鴨肉油飯,,,
2,,65,蒸蛋湯,,,
2,,65,酸菜豬肚湯,,,
2,,65,芋頭排骨湯,,,
3,,20,涼拌小黃瓜,,,
4,,40,鹿野香蜜紅茶,,,
4,,60,蜜香鮮奶茶,,,
4,,70,日本梅子醋,,,
4,,40,彈珠汽水,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
---,分隔線,分公司基本資料,---,,,
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
